track_name,artist,year,views,is_hit,genre,listeners,playcount,tags,lyric_positivity,slang_count,primary_theme,bpm,energy,danceability,valence,acousticness,loudness,key,mode,spectral_flatness,zero_crossing_rate,mfcc_mean,spectral_contrast,poly_features,instrumentalness,liveness,speechiness,sub_genre
Canto de Ossanha #408,Gilberto Gil,2024,39981938,1,mpb,993994,151553,"brazilian,pop,mpb,rnb",0.22,8,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Construção #54,Gilberto Gil,2024,38114396,1,mpb,84014,4297307,"brazilian,pop,mpb,rnb",0.63,15,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Águas de Março (Radio Edit),Gilberto Gil,2024,33060326,1,mpb,219415,2904378,"brazilian,pop,mpb,rnb",0.37,11,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Águas de Março - Acústico,Gilberto Gil,2024,2943340,1,mpb,340742,1270669,"brazilian,pop,mpb,rnb",0.3,13,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
Construção #15,Gilberto Gil,2024,40513247,1,mpb,544202,2606220,"brazilian,pop,mpb,rnb",0.46,6,romance,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Construção (Remix),Gilberto Gil,2024,31632450,1,mpb,752781,1350028,"brazilian,pop,mpb,rnb",0.84,5,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Oceano (Remix),Gilberto Gil,2024,6464337,1,mpb,555452,3419979,"brazilian,pop,mpb,rnb",0.19,0,festa,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Canto de Ossanha (Ao Vivo),Gilberto Gil,2024,41912417,1,mpb,238935,1801203,"brazilian,pop,mpb,rnb",0.82,0,cotidiano,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_3
Águas de Março #475,Gilberto Gil,2024,20472966,1,mpb,507964,2995789,"brazilian,pop,mpb,rnb",0.26,5,ostentação,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_2
Aquele Abraço #71,Gilberto Gil,2024,5917373,1,mpb,256737,3072902,"brazilian,pop,mpb,rnb",0.29,9,protesto,100,0.4,0.5,0.5,0.7,-10,C,1,0.001,0.05,-10,20.0,0.1,0.05,0.1,0.1,mpb_1
