Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist_name,bpm,is_hit
9000.0,6GomT970rCOkKAyyrwJeZi,Öwnboss;Sevek,Move Your Body,Move Your Body,82.0,157444.0,False,0.848,0.821,2.0,-5.408,0.0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,4.0,brazil,,123.15231047674604,
9001.0,7DFIPUWRKwOB8RWky8ELq8,BK;JXNV$,Castelos & Ruínas,"Amores, Vícios e Obsessões",56.0,194478.0,False,0.833,0.517,11.0,-7.502,0.0,0.301,0.116,0.000142,0.116,0.187,129.047,4.0,brazil,,96.48697566036171,
9002.0,1JAqy8JxzsmMRq5jD2Oi49,Liu;GenX,Pirate,Pirate,54.0,221775.0,False,0.72,0.781,10.0,-2.647,0.0,0.0609,0.00408,0.807,0.308,0.307,125.005,4.0,brazil,,125.21147765966194,
9003.0,2p9CY7YZIrkZLg4ztUCjZN,Yago Oproprio,Helipa,Helipa,57.0,202213.0,False,0.692,0.427,11.0,-10.733,0.0,0.391,0.527,0.0,0.17,0.542,75.086,4.0,brazil,,119.86939345538072,
9004.0,1XqWGzOdE6Q6FgFwAg0t9R,Xamã;Bagua Records;Luccas Carlos,O Iluminado,Uma Linda Mulher,54.0,208000.0,True,0.704,0.616,6.0,-7.042,0.0,0.0818,0.299,0.0,0.0856,0.161,89.974,4.0,brazil,,97.25100095786033,
9005.0,0EvH4HVrhZnvAfyctBSGrk,3030,Expectativas,Expectativas,52.0,201459.0,False,0.75,0.507,11.0,-9.219,0.0,0.058,0.798,0.0,0.31,0.897,136.937,4.0,brazil,,119.14367982446778,
9006.0,56U1WCUL6mbxoSSYgbBame,BK;Sain,Castelos & Ruínas,Castelos & Ruínas,52.0,249490.0,False,0.799,0.584,2.0,-8.157,1.0,0.118,0.103,1.11e-06,0.457,0.404,117.031,4.0,brazil,,107.77953360337148,
9007.0,2QGuFhaQDrGKqtkOgItDJS,Charlie Brown Jr.,Acústico (Ao Vivo),Zoio De Lula - Ao Vivo,55.0,224973.0,False,0.632,0.866,1.0,-5.445,0.0,0.0488,0.0556,5.75e-06,0.518,0.835,87.785,4.0,brazil,,115.61032192747396,
9008.0,4sGtZZD7zBZ1oqoQjkBg1z,UCLÃ;Sueth;Shoy;Mc IG,Rico E Bem Novin,Rico E Bem Novin,53.0,238000.0,True,0.611,0.547,7.0,-7.861,1.0,0.439,0.0717,0.0,0.157,0.355,158.852,4.0,brazil,,95.00559323280518,
9009.0,4SrXpaZtMokUhhFkgzDMpK,Onze:20,A Nossa Barraca,Não Vai Voltar,53.0,239072.0,False,0.641,0.617,5.0,-7.411,0.0,0.0307,0.413,0.0,0.112,0.941,139.942,4.0,brazil,,93.310810897488,
9010.0,29ZrGQad8homm9iN5mZQlp,Isaias Saad,Sua Presença (Ao Vivo),Sua Presença - Ao Vivo,58.0,314154.0,False,0.457,0.633,3.0,-6.056,1.0,0.0315,0.408,0.0,0.345,0.224,137.956,4.0,brazil,,115.60987232702577,
9011.0,0clS0Pwyo2JDfnZIGK2GvW,Bruno Martini;David Hodges,Night Drive Autumn/Winter 2022/23,Bring Me To Life,0.0,141610.0,False,0.75,0.829,6.0,-6.72,0.0,0.0515,0.16,0.00423,0.0858,0.631,117.973,4.0,brazil,,98.27822832218787,
9012.0,6vf5x73BHeI7hz4x7FxYjT,Antônio Carlos Jobim,The Greatest Jazz Mix,Look To The Sky,0.0,137933.0,False,0.499,0.215,11.0,-17.369,0.0,0.031,0.898,0.913,0.0989,0.74,132.383,4.0,brazil,,130.02644950128192,
9013.0,6G6FR1CEiuwkEbp33ryGAY,Racionais MC's,Sobrevivendo no Inferno,Mágico de Oz,55.0,456840.0,False,0.575,0.634,6.0,-7.079,0.0,0.36,0.461,0.0,0.3,0.783,79.316,4.0,brazil,,97.71661913966493,
9014.0,0bMAWV9DDN2fllpvCtpzWl,Jefferson & Suellen,Vem Me Buscar (Ao Vivo),Vem Me Buscar - Ao Vivo,58.0,418698.0,False,0.423,0.74,3.0,-5.309,0.0,0.0344,0.0206,0.0,0.523,0.166,135.906,4.0,brazil,,123.03391604450125,
9015.0,360gCLBRm4Caa50Vlbluhy,Luma Elpidio,Venho a Ti,Venho a Ti,53.0,346044.0,False,0.374,0.414,2.0,-7.161,1.0,0.0344,0.0549,0.0,0.112,0.196,124.211,4.0,brazil,,96.79194435694524,
9016.0,6bA5Bt4d2drlsBOYAghABi,Isaias Saad;Theo Rubia,Eu Amo a Tua Glória (Ao Vivo),Eu Amo a Tua Glória - Ao Vivo,57.0,538613.0,False,0.368,0.519,9.0,-9.827,1.0,0.0448,0.598,1.11e-05,0.313,0.183,133.879,4.0,brazil,,117.12191362165103,
9017.0,1HucuOdAhqUgPNgZJoFB3K,Rebeca Carvalho;Gabriela Rocha,Até te Encontrar (Ao Vivo),Até te Encontrar - Ao Vivo,55.0,576860.0,False,0.254,0.619,5.0,-6.779,1.0,0.0369,0.526,0.0,0.692,0.311,138.093,4.0,brazil,,98.17513095649126,
9018.0,0NHPfnQMzg0GiwbC4SF2yR,Weslei Santos,O Que Meu Deus Vai Fazer,O Que Meu Deus Vai Fazer,53.0,269631.0,False,0.539,0.339,2.0,-10.969,1.0,0.0314,0.78,0.0,0.0889,0.29,121.815,4.0,brazil,,127.00591030988573,
9019.0,6OSs0dmcVqVdeWOmsaA5g1,Jota Quest,Acústico Jota Quest,Fácil - Acústico,54.0,229540.0,False,0.556,0.537,7.0,-10.761,1.0,0.0282,0.377,0.0,0.757,0.313,95.914,4.0,brazil,,119.49864204136007,
