"id","genres"
"1puzPcrOHKTMQ6KTuYfqU0",funk carioca
"5K5J6RbtOXM5E39QQLhNKT",
"0Xe75LdkGXQ25N0kSsjBO5",
"75mhykEaDKr6pzcNuCWJFo",
"0hKp8L65UPQd5iWPo3cVqz",
"5b7N6Le7TXrNRdoTcqOLMF",
"18PzCN6SSqd7FcS21URnnN",
"5BbtxgCxQnqdGTZ50Z50JP",
"4jthJGVVXY7PUVXUvI56Ny",
"3DyjEI6EfW1JcJmBGtHiFq",
"4xcFNIVM3qTAXKmGRcBxx2",
"7LFu0rTIuaK4oxkm80nZez",
"6jJ0s89eD6GaHleKKya26X",pop
"0jD7VeE1m2SdHbOWeCtB9l","funk carioca,sertanejo,sertanejo pop,sertanejo universitario"
"7dzq55YG3wjViqexDwiycQ","arrocha,axe,mpb,pagode,pop nacional,samba reggae,sertanejo universitario"
"1HBjj22wzbscIZ9sEb5dyf","pop,pop dance,tropical house,uk dance"
"6KImCVD70vtIoJWnq6nGn3",pop
"50co4Is1HCEo8bhOyUWKpn","atl hip hop,atl trap,gangster rap,melodic rap,rap,trap"
"2RdwBSPQiwcmiDo9kixcl8","dance pop,pop"
"4A0TivfinfALCAMJqqjZIk",funktronica
"137W8MRPWKqSmrBGDBFSop","hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap"
"3NPpFNZtSTHheNBaWC82rB","modern alternative rock,modern rock,stomp pop"
"4I4iP1ZXPT2eLo3R4cBPig","axe,funk carioca,funk das antigas,funk melody"
"1AL2GKpmRrKXkYIcASuRFa","arrocha,forro,sertanejo,sertanejo universitario"
"4nDoRrQiYLoBzwC5BhVJzF","dance pop,pop"
"6eUKZXaKkcviH0Ku9w2n3V","pop,singer-songwriter pop,uk pop"
"4962T3pz7AkQQaDNVBbEXf",deep funk ostentacao
"3qvcCP2J0fWi0m0uQDUf6r","arrocha,sertanejo,sertanejo universitario"
"1elUiq4X7pxej6FRlrEzjM","agronejo,arrocha,sertanejo,sertanejo universitario"
"0QHgL1lAIqAw0HtD7YldmP","hip hop,miami hip hop,pop rap,rap"
"1uNFoZAHBGtllmzznpCI3s","canadian pop,pop"
"0VRj0yCOv2FXJNP47XQnx5","atl hip hop,melodic rap,rap,trap"
"60d24wfXkVzDSfLS6hyCjZ","dutch edm,edm,pop,pop dance,progressive house"
"6M2wZ9GZgrQXHCFfjv46we","dance pop,pop,uk pop"
"5pUo3fmmHT8bhCyHE52hA6",pop
"6xerOqBLmelL3xZNZkVbGl","sertanejo,sertanejo pop,sertanejo universitario"
"3J0BpFVUc9LeOIVeN5uNhU",r&b
"6tzRZ39aZlNqlUzQlkuhDV","dance pop,funk carioca,funk pop,pop lgbtq+ brasileira,pop nacional"
"6Ka3TKKRqhWwbmuxjhrmo6","funk mandelao,funk rj"
"6MDME20pz9RveH9rEXvrOM","pop,uk dance,uk funky"
"1vppDmG3i5sXf3DJzrK4T1","pagode,pagode novo,sertanejo universitario"
"6VuMaDnrHyPL1p4EHjYLi7","pop,viral pop"
"0C8ZW7ezQVs4URX5aX7Kqx","pop,post-teen pop"
"1HY2Jd0NmPuamShAr6KMms","art pop,dance pop,pop"
"4ZfTpxwHwtot9Ps59bXAF8","nova mpb,pop nacional"
"4iWkwAVzssjb8XgxdoOL6M","folk brasileiro,nova mpb"
"77AiFEVeAVj2ORpC85QVJs","edm,electro house,pop dance"
"1URnnhqYAYcrqrcwql10ft","atl hip hop,hip hop,rap"
"0EmeFodog0BfCgMzAIvKQp","colombian pop,dance pop,latin pop,pop"
"7Ln80lUS6He07XvHI8qqHH","garage rock,modern rock,permanent wave,rock,sheffield indie"
"3ECsaSd1fom8coUUkkFzqt",ritmo kombina
"7FNnA9vBm6EKceENgCGRMb","funk pop,funk rj,pagode baiano,pop,pop nacional"
"0Ye4nfYAA91T1X56gnlXAA",pop edm
"3a9qv6NLHnsVxJUtKOMHvD","complextro,glitch,glitch hop,indietronica"
"4mb1xtQVGSK5dh8AbtwBiR","funk carioca,funk ostentacao"
"7n2wHs1TKAczGzO7Dd2rGr","canadian pop,pop,viral pop"
"17lzZA2AlOHwCwFALHttmp","atl hip hop,hip hop,pop rap,rap,southern hip hop,trap"
"78nr1pVnDR7qZH6QbVMYZf","pop rap brasileiro,rap baiano,trap brasileiro"
"5SVFuUaS3BKAdJs6I8rVa4",nova mpb
"6E2st8OqIaS7PU5gj95FSE",pop rap brasileiro
"6hsjrcWvWqeIJaEUa9Fh3c",brazilian hip hop
"09U6hmCerKcIJrixubiBjm","rap baiano,trap baiano"
"21Z6OxfrB1jTI53TaDMm67",r&b brasileiro
"0obu7Om4zu9ahul5DI4JtY","brazilian hip hop,rap mineiro"
"1fcS44jH4wr0qwxSVdxWyX",pop nacional
"6U98XWjrUPnPtPBjEprDmu","brazilian hip hop,rap cearense"
"5WUlDfRSoLAfcVSX1WnrxN","australian dance,australian pop,pop"
"2feDdbD5araYcm6JhFHHw7","indie poptimism,pop"
"6IZ4ctovY9dl7bgHClAvKJ",dance pop
"0NGAZxHanS9e0iNHpR8f2W","electro house,pop nacional,slap house"
"2hqaYLpZg89K0aKGqEMSZi",brazilian hip hop
"5CCwRZC6euC8Odo6y9X8jr","dance pop,pop,uk pop"
"64M6ah0SkkRsnPGtGiRAbb","dance pop,pop"
"4kYSro6naA4h99UJvo89HB","pop,rap"
"6OpOg5HVCc8xVf7OVrd5Fk","brega funk,funk carioca"
"7c0XG5cIJTrrAgEC3ULPiq","hip hop,pop rap,r&b,southern hip hop,trap,trap soul"
"4gOc8TsQed9eqnqJct2c5v",k-pop girl group
"2kRfqPViCqYdSGhYSM9R0Q",pop
"2AfmfGFbe0A0WsTYm0SDTx",k-pop girl group
"0tRFWXqKBBQcu5oFVOgVzX",alt z
"4W6fwRbqEy1dfEoE6OCyZu",new french touch
"1D6vAeVUcgMbSx80IA3Zun","arrocha,sertanejo,sertanejo pop,sertanejo universitario"
"7KVJCU4z5L4EUHILL8aMxR","arrocha,axe,forro,pagode baiano,pop nacional"
"5ZsFI1h6hIdQRw2ti0hz81","pop,uk pop"
"1WQBwwssN6r8DSjUlkyUGW","funk consciente,trap brasileiro,trap funk"
"3rfM2cGqF6DB0kUyytMkXx","brazilian hip hop,trap brasileiro"
"0vLuOi2k62sHujIfplInlK","brazilian hip hop,rap df"
"6syQjkQSMIrzw5cFnNRheo","afrofuturismo brasileiro,brazilian hip hop,trap brasileiro"
"1KCSPY1glIKqW2TotWuXOR","dance pop,pop"
"64KEffDW9EtZ1y2vBYgq8T","brostep,edm,pop,progressive electro house"
"4DITWCDQL8b3VZTBYpNDR9",brazilian hip hop
"45Yz90pqjzEdJzpEQg1eII","brazilian hip hop,rap df"
"1MzXJ8AaHdidMAnjgcahS4",pop nacional
"3hteYQFiMFbJY7wS0xDymP",dark clubbing
"6vWDO969PvNqNYHIOW5v0m","pop,r&b"
"5p7f24Rk5HkUZsaS3BLG5F",pop
"3W10YNoIzqgJymjc5ULDzu",rap mineiro
"6eYFryfcEu3QSq59D62wZQ",
"6uW3jO0Wi5gBP0d5mrD40p",
"57Vnemieu10x71jR2UWc4o",
"7lpjzX5n0ka7cGEBi6xsKq",
"1T0F05F7TEo6QYr4vtGJdb",
