rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,4,4,Gusttavo Lima
2,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,1,15,Hugo & Guilherme
3,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,5,4,Felipe Amorim
4,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,2,6,Davi Kneip
5,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,5,11,5,Matheus Fernandes
6,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,3,11,PEDRO SAMPAIO
7,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,14,3,L7NNON
8,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,6,12,Luan Santana
9,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,8,20,Jorge & Mateus
10,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,7,13,Zé Felipe
11,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,11,25,2,Luan Santana
12,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,9,22,Gusttavo Lima
13,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,12,12,13,Zé Neto & Cristiano
14,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,11,13,4,Matuê
15,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,10,19,Xamã
16,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,15,27,George Henrique & Rodrigo
17,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,7,19,11,MC Rogerinho
18,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,16,7,Anitta
19,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,17,18,4,Teto
20,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,20,28,Henrique & Juliano
21,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,17,28,Henrique & Juliano
22,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,22,27,5,Mc Gabzin
23,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,21,28,Marília Mendonça
24,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,16,22,27,Henrique & Juliano
25,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,23,15,Chefin
