rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,1,5,Gusttavo Lima
2,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,3,5,Felipe Amorim
3,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,2,16,Hugo & Guilherme
4,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,4,7,Davi Kneip
5,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,5,11,3,Luan Santana
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,5,5,6,Matheus Fernandes
7,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,6,12,PEDRO SAMPAIO
8,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,7,4,L7NNON
9,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,9,21,Jorge & Mateus
10,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,8,13,Luan Santana
11,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,11,14,5,Matuê
12,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,12,13,14,Zé Neto & Cristiano
13,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,12,23,Gusttavo Lima
14,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,16,28,George Henrique & Rodrigo
15,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,15,20,Xamã
16,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,10,14,Zé Felipe
17,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,17,19,5,Teto
18,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,7,17,12,MC Rogerinho
19,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,20,29,Henrique & Juliano
20,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,21,29,Henrique & Juliano
21,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,21,22,6,Mc Gabzin
22,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,18,8,Anitta
23,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,16,24,28,Henrique & Juliano
24,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,24,28,3,Hugo & Guilherme
25,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,23,29,Marília Mendonça
26,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,26,45,4,MC Braz
27,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,27,22,Wesley Safadão
28,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,26,26,12,Guilherme & Benuto
29,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,26,29,7,Matheus & Kauan
30,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,25,16,Chefin
31,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,31,63,2,Mc Delux
32,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,30,30,12,George Henrique & Rodrigo
33,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,31,31,5,Harry Styles
34,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,13,32,12,Gloria Groove
35,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,14,38,29,Tayrone
36,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,35,24,Mari Fernandez
37,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,36,42,21,Mc Poze do Rodo
38,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,36,26,Marília Mendonça
39,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,16,37,18,Matheus & Kauan
40,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,8,34,15,Dj Guuga
41,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,41,—,1,Mc Pepeu
42,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",19,39,10,Vulgo FK
43,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,7,41,21,DJ Matt D
44,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,40,25,Zé Felipe
45,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,33,33,6,Hugo & Guilherme
46,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,46,87,2,MC Rogerinho
47,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,34,47,10,Pineapple StormTv
48,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,48,51,5,João Bosco e Gabriel
49,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,20,43,12,Luísa Sonza
50,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,5,44,27,Paulo Pires
51,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),51,—,1,Anitta
52,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,30,50,26,Marília Mendonça
53,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,48,29,Gusttavo Lima
54,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,19,52,29,Gusttavo Lima
55,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,55,62,5,Israel & Rodolffo
