rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,6,3,MC Kevin o Chris
2,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,12,DENNIS
3,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,3,3,5,Ana Castela
4,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,2,7,Mc Livinho
5,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,5,27,AgroPlay
6,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,4,8,Mc Pedrinho
7,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,7,8,8,Kadu Martins
8,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,7,23,Israel & Rodolffo
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,9,28,Simone Mendes
10,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,10,12,4,Gusttavo Lima
11,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,10,25,Zé Neto & Cristiano
12,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,11,11,6,Luan Pereira
13,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,13,13,4,Vulgo FK
14,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,11,14,21,Grupo Menos É Mais
15,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,8,17,9,Luan Santana
16,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,6,15,12,Veigh
17,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,17,18,7,Zé Neto & Cristiano
18,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",7,16,7,Dyamante DJ
19,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,19,62,2,Felipe Amorim
20,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,19,26,Guilherme & Benuto
21,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,21,23,4,GORDÃO DO PC
22,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,20,27,Henrique & Juliano
23,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,22,13,Guilherme & Benuto
24,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,6,21,27,Matheus & Kauan
25,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",24,24,7,Melody
26,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,16,27,17,Zé Neto & Cristiano
27,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,25,35,Marília Mendonça
28,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,9,29,22,Clayton & Romário
29,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,9,26,29,Gustavo Mioto
30,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,28,40,Israel & Rodolffo
31,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,30,19,Hugo & Guilherme
32,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,32,64,4,Maiara & Maraisa
33,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,17,32,16,MC Kevin o Chris
34,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,34,48,12,Israel & Rodolffo
35,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,31,34,7,Leo Santana
36,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,33,21,Luan Pereira
