rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,6,MC MENOR HR
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,2,2,5,Israel & Rodolffo
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,12,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,4,24,Guilherme & Benuto
5,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,5,8,Matheus & Kauan
6,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,6,16,Guilherme & Benuto
7,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,12,3,Zé Felipe
8,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,4,7,14,Diego & Victor Hugo
9,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,8,20,Mc Paiva ZS
10,spotify:track:2orGm2E68ODFYOURjaES62,Felina,8,11,10,WIU
11,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,9,9,Gusttavo Lima
12,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,4,10,19,Jorge & Mateus
13,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,12,13,9,Dj LK da Escócia
14,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,14,14,5,Orochi
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,15,47,Hugo & Guilherme
16,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,16,24,8,Felipe e Rodrigo
17,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,17,31,Jorge & Mateus
18,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,16,25,L7NNON
19,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),19,22,4,Kadu Martins
20,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,20,26,Ana Castela
21,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,18,18,5,Guilherme & Benuto
22,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,14,19,28,Mari Fernandez
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,19,23,28,Israel & Rodolffo
24,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,15,21,18,Matheus & Kauan
25,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,25,36,3,DJ Dozabri
26,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,27,25,MC Tairon
27,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,22,25,18,Murilo Huff
28,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,28,20,Marília Mendonça
29,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,6,26,18,Hugo & Guilherme
30,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,30,38,Matheus & Kauan
31,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,29,37,Matheus Fernandes
32,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,34,21,Mc Jacaré
33,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,9,32,12,Pineapple StormTv
34,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,27,33,17,Felipe Amorim
35,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,35,35,24,MC Cabelinho
36,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,30,31,11,Kevi Jonny
37,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,18,47,29,Henrique & Juliano
38,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,46,36,Felipe Amorim
39,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,39,41,2,MC Ryan SP
40,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,11,37,18,DJ AK BR
41,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,3,38,22,Gusttavo Lima
42,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,43,60,Henrique & Juliano
43,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,44,34,Hugo & Guilherme
44,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,29,39,19,Mc Paiva ZS
45,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,39,40,10,MC Cabelinho
46,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,16,48,59,Henrique & Juliano
47,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,19,51,32,Paulo e Nathan
48,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),26,42,11,Sam Smith
49,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,31,56,36,Harry Styles
50,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,45,36,Gusttavo Lima
51,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,59,59,George Henrique & Rodrigo
52,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,57,52,Jorge & Mateus
53,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,3,55,34,Luan Santana
54,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,58,30,João Gomes
55,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,50,50,25,Mc Gabzin
56,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,56,—,1,Israel & Rodolffo
57,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,57,62,4,BIN
58,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,16,53,21,MC Kevin o Chris
59,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,60,33,MC Rogerinho
60,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,40,49,11,MC Marks
61,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,45,52,11,Guilherme & Benuto
62,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,60,63,9,Gusttavo Lima
63,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,54,17,Luan Santana
64,spotify:track:2SOeAhvJfh7HsGYPVtGG8H,Aqui Na Parma Tu Vem Pra Fuder,55,64,6,DJ CIRILO DE CAXIAS
65,spotify:track:1JIKO27MqvSpjrnUCT6fLC,A Caminho do Bega,65,74,3,DJ Patrick Muniz
66,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,66,77,3,Yago Oproprio
67,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,73,60,Marília Mendonça
68,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,32,67,22,Clayton & Romário
69,spotify:track:5IcPYzR2bkS4W3MabMpi4Z,Melhor Ser uma Saudade,10,78,45,Zé Neto & Cristiano
70,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,33,68,28,Murilo Huff
71,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,47,65,18,Diego & Victor Hugo
72,spotify:track:3o5LmE0gNsEBwz7VCmc3bV,Problemão - Ao Vivo,66,69,6,Hugo & Vitor
73,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,31,71,13,Mc Kitinho
74,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,9,66,36,Matuê
75,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,4,75,44,Luan Santana
76,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,80,60,Henrique & Juliano
77,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,17,76,43,Guilherme & Benuto
78,spotify:track:5TGkZGCUoV1zvFxQOIQM5O,Reverse,68,70,7,HITMAKER
79,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,25,79,31,Leo Santana
80,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,14,85,60,Tayrone
81,spotify:track:7woVi4HBuv0rsO98Ox2Fcq,Doce Veneno,65,72,8,Mc Paiva ZS
82,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,84,3,Davi Kneip
83,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,6,61,29,Mc Don Juan
84,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,87,54,Gusttavo Lima
85,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,10,82,35,MC Braz
