rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,1,11,George Henrique & Rodrigo
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,16,3,Xamã
3,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,2,12,Marília Mendonça
4,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,3,12,Henrique & Juliano
5,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,4,8,Zé Felipe
6,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,5,5,6,Gusttavo Lima
7,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,6,9,Marília Mendonça
8,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,5,7,10,Paulo Pires
9,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,11,7,Mari Fernandez
10,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,8,4,Jorge & Mateus
11,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,4,15,12,PEDRO SAMPAIO
12,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,12,12,Avine Vinny
13,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,10,12,Henrique & Juliano
14,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,6,14,12,Zé Neto & Cristiano
15,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,9,12,Gusttavo Lima
16,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,13,12,Marília Mendonça
17,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,8,17,10,MC Levin
18,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,14,19,12,Tayrone
19,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,19,28,4,DJ Matt D
20,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,18,12,Zé Felipe
21,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,9,22,12,João Gomes
22,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,14,21,12,Matheus & Kauan
23,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,21,23,4,Anitta
24,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,20,12,Zé Neto & Cristiano
25,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,13,24,12,Matheus Fernandes
26,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,11,29,12,Felipe Amorim
27,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,23,25,11,Henrique & Juliano
28,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,27,12,Mc Anjim
29,spotify:track:2PZmUFZGlUqkYJL0s0Cl6C,Dar uma Namorada - Ao Vivo,29,32,7,Israel & Rodolffo
30,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,30,33,12,Clayton & Romário
31,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,31,35,11,Max e Luan
32,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,17,34,12,Tarcísio do Acordeon
33,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",4,30,12,DJ Patrick Muniz
34,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,23,31,12,Vitor e Luan
35,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,11,26,12,Gusttavo Lima
36,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,16,37,11,Marina Sena
37,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,19,36,12,Diego & Victor Hugo
38,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,30,38,9,Marília Mendonça
39,spotify:track:5emL18Je5WuruMhWr0gj4w,Eu Já Tava Bem - Ao Vivo,39,60,5,Wesley Safadão
40,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,24,39,12,Zé Felipe
41,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,28,43,12,Japãozin
42,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,21,40,12,Luan Santana
43,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,43,50,8,Mc Davi
44,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,29,42,12,João Gomes
45,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,29,54,12,Zé Neto & Cristiano
46,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,44,44,12,Israel & Rodolffo
47,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,27,48,12,MC Rogerinho
48,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,15,51,12,Matuê
49,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,19,47,12,Gusttavo Lima
50,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,18,45,12,DG e Batidão Stronda
51,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,24,57,12,Gloria Groove
52,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,29,41,12,Jorge & Mateus
53,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,33,52,12,Matheus & Kauan
54,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,18,46,9,Marília Mendonça
55,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,49,9,Marília Mendonça
56,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,12,55,12,John Amplificado
57,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,57,72,4,Mc Poze do Rodo
58,spotify:track:1QmupixsVNc0osesKXraZC,Formosa,58,86,3,Kaio Viana
59,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,42,53,12,Henrique & Juliano
60,spotify:track:7xi4XR5EIOU6OHdIydLMjT,Uma Ex - Ao Vivo,57,58,7,Murilo Huff
61,spotify:track:3hycwch1V1aCbKGlcfKg0I,"Deu Meia Noite, Eu Sumi, Geral Soltando Fogos",56,70,6,Mc Delux
62,spotify:track:3Ox3DxqqRCEEVCPnENVx3g,"Calma Bb, Tá nos Melhores Amigos",62,66,4,Mc Th
63,spotify:track:0ZwGhDJHceKPvg3UAb5OMQ,Teste de Farmácia - Ao Vivo,55,59,3,Gusttavo Lima
64,spotify:track:3Lw41pfko5XMrsHRtlbo2k,Bota a Mão no Chão,26,56,9,Felipe Cardoso DJ
65,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,47,61,10,Hugo & Guilherme
66,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,66,—,1,Matheus & Kauan
67,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,32,63,12,João Gomes
68,spotify:track:6PphjPCInSH37orHuV7ymU,Modo Avião - Ao Vivo,68,68,6,DENNIS
69,spotify:track:1hs2hRwPfyFLoYIf6jY1W7,Zero Saudade - Ao Vivo,26,64,12,Os Barões Da Pisadinha
70,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,41,65,10,Gusttavo Lima
71,spotify:track:6wrkP23fHC8KDHCfs8MpJ9,Chá De Casa Nova - Ao Vivo,66,88,4,Henrique & Juliano
72,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),36,93,12,Lil Nas X
73,spotify:track:07Kp3cAQRY0iPp4ATMoehM,Ficante Fiel,61,73,8,Mad Dogz
74,spotify:track:17Gh6E6eRfAAw7sCgmnkFc,O Ex da Sua Vida,71,71,6,Gusttavo Lima
75,spotify:track:3tEaSuDA0eWnIF8ari2Xly,Calculista,75,77,5,Dom Vittor & Gustavo
76,spotify:track:6HV630GY0GT3RN2efFRmbP,Troca,51,67,8,Jorge & Mateus
77,spotify:track:4lHoT8PvMpMg1l5kdxqNmD,Coração de Isca,77,78,6,Bruno & Marrone
78,spotify:track:3HquWF2pZmWYu3WAEP9Heb,Só Não Divulga,49,74,7,Fernando & Sorocaba
