rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,9,Xamã
2,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,2,2,5,Hugo & Guilherme
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,7,3,Zé Felipe
4,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,3,17,George Henrique & Rodrigo
5,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,4,12,Gusttavo Lima
6,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,5,5,Chefin
7,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,6,10,Jorge & Mateus
8,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,8,18,Marília Mendonça
9,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,7,9,10,DJ Matt D
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,11,14,Zé Felipe
11,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,10,18,Henrique & Juliano
12,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,12,13,Mari Fernandez
13,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,13,20,4,Dj Guuga
14,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,4,13,18,PEDRO SAMPAIO
15,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,14,15,Marília Mendonça
16,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,16,39,2,Luan Santana
17,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,15,18,Henrique & Juliano
18,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,16,17,7,Matheus & Kauan
19,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,5,16,16,Paulo Pires
20,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),20,31,3,MC Teteu
21,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,14,19,18,Tayrone
22,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,18,11,Wesley Safadão
23,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,23,25,17,Henrique & Juliano
24,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,24,24,5,Mc Don Juan
