rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,1,5,L7NNON
2,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,2,5,MC Tairon
3,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,3,6,6,Ana Castela
4,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,3,5,Zé Felipe
5,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,5,18,2,Gusttavo Lima
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,4,17,Matheus Fernandes
7,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,7,9,11,Jorge & Mateus
8,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,5,16,Gusttavo Lima
9,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,7,16,Felipe Amorim
10,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,3,8,14,Luan Santana
11,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,6,11,9,Mc Don Juan
12,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,10,10,João Gomes
13,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,12,27,Hugo & Guilherme
14,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,13,13,MC Rogerinho
15,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,10,14,15,MC Braz
16,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,16,19,4,Guilherme & Benuto
17,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,16,14,Hugo & Guilherme
18,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,17,18,Davi Kneip
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,23,18,Matheus & Kauan
20,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,21,24,Luan Santana
21,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,21,22,8,Mari Fernandez
22,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),13,15,7,Gusttavo Lima
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,23,31,8,Israel & Rodolffo
24,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,20,32,Jorge & Mateus
25,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,26,23,PEDRO SAMPAIO
