rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,8,Ana Castela
2,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,1,2,7,L7NNON
3,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,3,3,4,Gusttavo Lima
4,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,5,7,MC Tairon
5,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,6,2,Marília Mendonça
6,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,4,7,Zé Felipe
7,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,9,6,Guilherme & Benuto
8,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,7,7,13,Jorge & Mateus
9,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,8,19,Matheus Fernandes
10,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,10,29,Hugo & Guilherme
11,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,11,34,3,Mc Jacaré
12,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,12,13,3,Luísa Sonza
13,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,11,18,Gusttavo Lima
14,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,14,15,3,Nivaldo Marques
15,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,3,12,16,Luan Santana
16,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,16,22,3,MC Kevin o Chris
17,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,6,17,11,Mc Don Juan
18,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,14,12,João Gomes
19,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,19,19,10,Mari Fernandez
20,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,18,15,MC Rogerinho
21,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,21,20,Matheus & Kauan
22,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,10,23,17,MC Braz
23,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,20,16,Hugo & Guilherme
24,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,16,18,Felipe Amorim
25,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,24,20,Davi Kneip
26,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,23,25,10,Israel & Rodolffo
27,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,26,34,Jorge & Mateus
28,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,28,26,Luan Santana
29,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,27,41,George Henrique & Rodrigo
30,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,29,42,Henrique & Juliano
31,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,31,25,PEDRO SAMPAIO
32,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,32,45,14,Paulo e Nathan
33,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,30,30,9,Wesley Safadão
