rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,8,AgroPlay
2,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,15,2,Zé Felipe
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,11,Marília Mendonça
4,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,3,3,7,MC Xenon
5,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,5,11,Israel & Rodolffo
6,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,4,6,Zé Neto & Cristiano
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,6,8,Henrique & Juliano
8,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,12,8,Matheus & Kauan
9,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,8,8,3,MC Kevin o Chris
10,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,10,21,3,Clayton & Romário
11,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,13,11,Gustavo Mioto
12,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,9,11,7,Guilherme & Benuto
13,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,5,14,9,Gusttavo Lima
15,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,9,9,10,Gustavo Mioto
16,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,10,9,Leo Santana
17,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,17,17,4,Israel & Rodolffo
18,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,16,11,WIU
19,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,18,18,9,Simone Mendes
20,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,15,20,10,Matheus Fernandes
21,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,17,19,9,NATTAN
22,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,22,24,4,Hugo & Guilherme
23,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,23,28,4,MC Rogerinho
24,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,8,22,11,Mc Tato
25,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,11,26,11,Israel & Rodolffo
26,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,14,23,10,Luan Santana
27,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,27,32,3,Mc IG
28,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,25,11,Maiara & Maraisa
29,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,29,11,Matheus & Kauan
30,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,12,30,11,Ana Castela
31,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,16,34,11,Jorge & Mateus
32,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,6,33,11,Zé Felipe
