rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,1,7,Gusttavo Lima
2,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,2,7,Felipe Amorim
3,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,3,4,5,Luan Santana
4,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,6,8,Matheus Fernandes
5,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,5,9,Davi Kneip
6,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,3,18,Hugo & Guilherme
7,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,7,23,Jorge & Mateus
8,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,9,14,PEDRO SAMPAIO
9,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,9,11,7,Matuê
10,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,8,15,Luan Santana
11,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,10,10,16,Zé Neto & Cristiano
12,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,12,24,4,MC Rogerinho
13,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,12,25,Gusttavo Lima
14,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,13,6,L7NNON
15,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,14,30,George Henrique & Rodrigo
16,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,15,22,Xamã
17,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,17,25,3,Mc Pepeu
18,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,18,20,6,MC Braz
19,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,19,31,Henrique & Juliano
20,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,17,18,7,Teto
21,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,21,21,8,Mc Gabzin
22,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,16,31,Henrique & Juliano
23,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,23,38,2,Jorge & Mateus
24,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,17,16,Zé Felipe
25,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,25,28,14,Guilherme & Benuto
26,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,23,23,5,Hugo & Guilherme
27,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,26,31,9,Matheus & Kauan
28,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,16,22,30,Henrique & Juliano
29,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,27,24,Wesley Safadão
30,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),30,33,3,Anitta
31,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,30,30,4,Mc Delux
32,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,29,31,Marília Mendonça
33,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,7,32,14,MC Rogerinho
34,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,34,—,1,João Gomes
35,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,26,10,Anitta
36,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,37,18,Chefin
37,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,30,34,14,George Henrique & Rodrigo
