rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,1,1,6,Tropa do Bruxo
2,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,2,11,Gusttavo Lima
3,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,2,3,9,Dj GBR
4,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,3,4,20,Zé Neto & Cristiano
5,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,5,5,6,Manu
6,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,6,11,8,Simone Mendes
7,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,5,9,35,Grupo Menos É Mais
8,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,7,12,Luan Pereira
9,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,6,19,Ana Castela
10,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,10,18,27,Guilherme & Benuto
11,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,8,17,MC Kevin o Chris
12,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,10,18,Gusttavo Lima
13,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,13,16,Felipe Amorim
14,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,14,25,4,GREGO
15,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,15,19,9,Henrique & Juliano
16,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,7,12,21,Zé Neto & Cristiano
17,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,13,14,9,MC Maneirinho
18,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),18,22,12,Ana Castela
19,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,21,40,Guilherme & Benuto
20,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,20,24,16,Henrique & Juliano
21,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,20,41,AgroPlay
22,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,14,16,12,MC Rogerinho
23,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,11,15,7,Flora Matos
24,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,17,37,Israel & Rodolffo
25,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,23,26,DENNIS
26,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,3,30,42,Simone Mendes
27,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,26,49,Marília Mendonça
