rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,6,Gusttavo Lima
2,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,2,7,Luan Pereira
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,3,5,15,Zé Neto & Cristiano
4,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,3,3,4,Dj GBR
5,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,4,12,MC Kevin o Chris
6,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,6,14,Ana Castela
7,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,7,11,Felipe Amorim
8,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,8,13,Gusttavo Lima
9,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,5,10,30,Grupo Menos É Mais
10,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,7,9,16,Zé Neto & Cristiano
11,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,12,36,AgroPlay
12,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,11,21,DENNIS
13,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,15,37,Simone Mendes
14,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,14,14,7,MC Rogerinho
15,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,13,32,Israel & Rodolffo
16,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,16,21,11,Gusttavo Lima
17,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,7,18,10,Felipe Amorim
18,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,19,35,Guilherme & Benuto
19,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,17,16,Mc Livinho
20,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,8,16,18,Luan Santana
21,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,25,22,Guilherme & Benuto
22,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),22,27,7,Ana Castela
23,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,20,20,4,MC Maneirinho
24,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,23,23,17,Diego & Victor Hugo
25,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,28,36,Henrique & Juliano
26,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,6,29,15,Luan Pereira
27,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,24,24,4,Luan Santana
28,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,17,34,37,NATTAN
29,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,6,26,21,Veigh
30,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,13,22,13,Vulgo FK
31,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,7,30,17,Kadu Martins
32,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,37,44,Marília Mendonça
33,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,35,17,Mc Pedrinho
34,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,41,34,Zé Neto & Cristiano
35,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,35,36,11,Henrique & Juliano
36,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,22,31,18,Hugo & Guilherme
37,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,37,44,4,Henrique & Juliano
38,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,38,72,2,Flora Matos
39,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",24,40,16,Melody
40,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,21,33,13,GORDÃO DO PC
41,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,6,38,36,Matheus & Kauan
42,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,28,32,10,Luan Santana
43,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,16,46,26,Zé Neto & Cristiano
44,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,30,48,17,Murilo Huff
45,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,45,54,3,Mc IG
46,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,32,42,13,Maiara & Maraisa
47,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,34,47,21,Israel & Rodolffo
48,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,45,45,7,Gusttavo Lima
49,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,9,43,38,Gustavo Mioto
50,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,49,30,Luan Pereira
51,spotify:track:6MCaEL0pQo1Jg1vlKpMWop,Dois Fugitivos - Ao Vivo,51,64,3,Simone Mendes
52,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",7,53,16,Dyamante DJ
53,spotify:track:4N4Jk8n24I4lkSUdzoS0n7,Alô Tranqueira - Ao Vivo,53,—,1,Zé Neto & Cristiano
54,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,49,56,6,Luísa Sonza
55,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",33,39,8,Mc IG
56,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,36,57,25,Henrique & Juliano
57,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,25,55,23,Lauana Prado
58,spotify:track:5qjwjBzWAxXjjqinjENzIF,Dói,47,59,10,Jorge & Mateus
59,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Vem Quebrando,52,52,8,Mc Danone
60,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,37,50,19,Eric Land
61,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,51,58,18,Henrique & Juliano
62,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,34,60,30,Belle Kaffer
63,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,61,28,Hugo & Guilherme
64,spotify:track:3hfCle1QRfbwIpQ1B746lV,Aquariano Nato,63,63,4,MC Saci
65,spotify:track:6Gn8SHd3RIWjOermcidCJk,A Internet É Toxica,62,62,5,Dj Lc
66,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,66,—,1,Tropa do Bruxo
67,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,69,56,Gustavo Mioto
68,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,9,65,31,Clayton & Romário
69,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,8,51,6,Luísa Sonza
70,spotify:track:1V4l4h7kYaKyXJk74g6ilu,Guardanapo Borrado - Ao Vivo,70,96,2,Israel & Rodolffo
71,spotify:track:2yIJ2CVZkTDftAsL9NPTw2,Milionário - Ao Vivo,67,67,5,Guilherme & Benuto
72,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,40,77,43,Bruno & Denner
73,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,74,49,Israel & Rodolffo
74,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,82,52,Matheus & Kauan
75,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,23,—,1,Mc Jacaré
76,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,76,—,1,Manu
77,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,18,91,26,Gusttavo Lima
78,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,68,68,3,Israel & Rodolffo
79,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,17,76,25,MC Kevin o Chris
80,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,21,81,32,Hugo & Guilherme
81,spotify:track:7z2hqtAyf6FR39ZZmVkvcO,Eu Vou Cair na Noite,58,70,14,DJ RENAN DA BL
82,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),17,75,26,MC PH
83,spotify:track:0tBgLNgCmRTmqrydcFfQjt,Ia Dar Bom,74,89,6,Pedro Paulo & Alex
84,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,78,68,Guilherme & Benuto
85,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,3,71,35,MC Xenon
86,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,40,79,28,KayBlack
87,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,87,—,1,Sorriso Maroto
88,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,88,—,1,Grupo Menos É Mais
89,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),7,73,24,Matuê
90,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,28,66,21,Veigh
91,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,12,—,1,Ana Castela
92,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,4,—,1,Jorge & Mateus
