rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,7,MC Kevin o Chris
2,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,3,9,Ana Castela
3,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,2,6,Felipe Amorim
4,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,5,8,Gusttavo Lima
5,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,4,16,DENNIS
6,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,6,9,25,Grupo Menos É Mais
7,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,7,10,11,Zé Neto & Cristiano
8,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,7,7,5,Felipe Amorim
9,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,12,31,AgroPlay
10,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,6,6,10,Luan Pereira
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,11,27,Israel & Rodolffo
12,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,8,11,Mc Livinho
13,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,14,32,Simone Mendes
14,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,8,18,13,Luan Santana
15,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,13,13,8,Vulgo FK
16,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,15,29,Zé Neto & Cristiano
17,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,17,84,2,Luísa Sonza
18,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,7,16,12,Kadu Martins
19,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,17,12,Mc Pedrinho
20,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,20,30,Guilherme & Benuto
21,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,22,17,Guilherme & Benuto
22,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,22,69,2,Luan Pereira
23,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,6,19,16,Veigh
24,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,24,—,1,Gusttavo Lima
25,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,21,31,Henrique & Juliano
26,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,25,25,12,Diego & Victor Hugo
27,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,21,26,8,GORDÃO DO PC
28,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,16,29,21,Zé Neto & Cristiano
29,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,29,—,1,Luísa Sonza
30,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",7,27,11,Dyamante DJ
31,spotify:track:2nfnhFDhwMet9yZodpGfn3,AMBIENTE ERRADO - Ao Vivo,28,28,5,Luan Santana
32,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,23,23,6,Gusttavo Lima
33,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",33,34,3,Mc IG
34,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",24,24,11,Melody
35,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,32,33,8,Maiara & Maraisa
36,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,31,39,Marília Mendonça
37,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,6,30,31,Matheus & Kauan
38,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,38,38,3,Luísa Sonza
39,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),39,56,2,Ana Castela
40,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,22,42,13,Hugo & Guilherme
41,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,17,37,32,NATTAN
42,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,9,35,33,Gustavo Mioto
43,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,43,45,10,Zé Neto & Cristiano
44,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,34,36,16,Israel & Rodolffo
45,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,45,59,2,Gusttavo Lima
46,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,39,25,Luan Pereira
