rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,5,Davi Kneip
2,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,2,3,Felipe Amorim
3,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,7,6,Matheus Fernandes
4,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,1,5,12,Zé Felipe
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,3,10,PEDRO SAMPAIO
6,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,4,23,Anitta
7,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,3,6,10,MC Rogerinho
8,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,8,10,3,Matuê
9,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,8,14,Hugo & Guilherme
10,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,9,18,Xamã
11,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),11,63,2,L7NNON
12,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,11,23,Mari Fernandez
13,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,13,18,3,Gusttavo Lima
14,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,11,12,20,Wesley Safadão
15,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,3,17,13,Dj Guuga
16,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,10,14,11,Luan Santana
17,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,13,13,19,Jorge & Mateus
18,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,15,15,3,Teto
19,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,19,20,3,Harry Styles
20,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,16,21,Gusttavo Lima
21,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,19,23,Zé Felipe
