rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,10,Ana Castela
2,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,2,18,Mari Fernandez
3,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,3,3,11,L7NNON
4,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,1,4,7,Nivaldo Marques
5,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,5,6,Marília Mendonça
6,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,9,3,Luan Santana
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,6,25,Matheus Fernandes
8,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,7,7,9,Guilherme & Benuto
9,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,8,16,João Gomes
10,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,10,17,5,Felipe Amorim
11,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,11,26,4,Mc Paiva ZS
12,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,10,13,8,Gusttavo Lima
13,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,10,11,Zé Felipe
14,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,8,11,7,Luísa Sonza
15,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,14,22,Felipe Amorim
16,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,15,20,MC Rogerinho
17,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,12,12,6,Mc Jacaré
