rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),1,3,9,Kadu Martins
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,15,Gustavo Mioto
3,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,2,8,MC MENOR HR
4,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,3,4,8,Israel & Rodolffo
5,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,5,6,Zé Felipe
6,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,6,35,Mari Fernandez
7,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,8,26,Guilherme & Benuto
8,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,9,18,Guilherme & Benuto
9,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,9,32,3,Marília Mendonça
10,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,5,7,12,Dj LK da Escócia
11,spotify:track:2orGm2E68ODFYOURjaES62,Felina,7,10,13,WIU
12,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,9,13,11,Matheus & Kauan
13,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,5,11,22,Felipe Amorim
14,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,12,14,8,Orochi
15,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,12,21,Mc Paiva ZS
16,spotify:track:4pzRxLzkLjnqnrOL0VMV5w,Não Fosse Tão Tarde - Ao Vivo,16,18,11,Wesley Safadão
17,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,6,17,17,Diego & Victor Hugo
18,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,20,42,Matheus Fernandes
19,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,19,81,2,MC K.K
20,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,16,16,5,Felipe e Rodrigo
21,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,12,19,21,Jorge & Mateus
22,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,15,15,5,DJ Dozabri
23,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,22,12,Gusttavo Lima
24,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,26,33,João Gomes
25,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,25,50,Hugo & Guilherme
26,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,26,27,3,WIU
27,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,29,23,Marília Mendonça
28,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,21,28,L7NNON
29,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,28,28,3,Israel & Rodolffo
30,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,31,39,Felipe Amorim
31,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,31,34,6,Guilherme & Benuto
32,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,32,89,2,Maiara & Maraisa
33,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,18,33,14,Kevi Jonny
34,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,12,23,39,Harry Styles
35,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,3,24,15,Pineapple StormTv
36,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,35,27,Ana Castela
37,spotify:track:2ryeIBjDGoVmvK45BmFXpM,Respeita Seu Ex,37,44,2,Mari Fernandez
38,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),38,—,1,Luísa Sonza
39,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,32,36,21,Murilo Huff
40,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,37,37,MC Rogerinho
41,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,15,40,34,Jorge & Mateus
42,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,36,42,29,Mari Fernandez
43,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),10,30,14,Sam Smith
44,spotify:track:3DNhR7P04alm9S4JA6Llvg,Mó Viagem,33,41,4,Felipe Amorim
45,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,23,43,25,Kadu Martins
46,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,10,49,25,Gusttavo Lima
47,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,28,46,20,Matheus & Kauan
48,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,32,39,22,MC Cabelinho
49,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,34,51,12,Wesley Safadão
50,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,1,62,24,Nivaldo Marques
51,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,51,58,2,MC Ryan SP
52,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,53,63,Marília Mendonça
53,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,7,47,40,Leo Santana
54,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,38,38,6,Yago Oproprio
55,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,55,68,3,Gusttavo Lima
56,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,56,66,3,Anitta
57,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,24,54,41,Matheus & Kauan
58,spotify:track:57AFq4IQx7NRSsxmhb8YZz,Conduta - Ao Vivo,58,73,2,NATTAN
59,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,58,59,9,João Gomes
60,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,55,63,Henrique & Juliano
61,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,38,45,12,MC Cabelinho
62,spotify:track:0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,62,—,1,Mariah Carey
63,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,24,57,28,Felipe Amorim
64,spotify:track:75vGTHuhbJDrZ0oPb3FXQ9,Pagodão do Birimbola (Tchubirabirom),64,72,3,Os Quebradeiras
65,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,10,50,27,MC Tairon
66,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,34,63,31,Mari Fernandez
67,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),67,—,1,Zé Vaqueiro
68,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,56,41,Davi Kneip
69,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,37,48,30,Israel & Rodolffo
70,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,78,59,Mari Fernandez
71,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,5,76,59,George Henrique & Rodrigo
72,spotify:track:5FNdfRpHs4u5vto9YdY3ft,Eu Já Tava Bem - Ao Vivo,11,80,56,Wesley Safadão
73,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,15,52,21,DJ AK BR
74,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,36,69,32,Henrique & Juliano
75,spotify:track:58VUikMywNpRelwEx8khdh,Mel do Egito,54,67,11,Leandro e as Abusadas
76,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,75,58,Henrique & Juliano
77,spotify:track:4NWqFtTU1wnvlsU7XjeIGM,Mina Sensação,55,79,9,Deavele Santos
78,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),39,65,15,David Guetta
79,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,79,—,1,Mc Jacaré
80,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,64,39,Matuê
81,spotify:track:0D0GhRImBnK6sV2iMBLQAP,Cão Sem Dono,41,71,12,Mari Fernandez
82,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,87,20,Luan Santana
83,spotify:track:3TIb3AjhRWnxQGQEcFmgDL,Tu Tava Na Revoada - Ao Vivo,9,74,32,Wesley Safadão
84,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,70,86,7,Grupo Menos É Mais
85,spotify:track:1JIKO27MqvSpjrnUCT6fLC,A Caminho do Bega,52,70,7,DJ Patrick Muniz
86,spotify:track:11BKm0j4eYoCPPpCONAVwA,Bloody Mary,60,60,4,Lady Gaga
87,spotify:track:5o4VK4Qe5QwXHrvUPoaGHy,A Caminho do Bega [Piseiro Remix] (feat. Dj Mizzontti),87,—,1,DJ Patrick Muniz
88,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,37,92,38,NATTAN
89,spotify:track:7oodfOYg0KH2LtjM0FBgb7,Mantenha Distância,89,98,2,Henry Freitas
90,spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),84,84,3,Rema
91,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,39,90,25,NATTAN
92,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,92,—,1,Bruno & Denner
93,spotify:track:5blfWAryX3tMCRN4cMhce3,Farra Sem Limites - Ao Vivo,78,—,1,Wesley Safadão
94,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,8,97,24,Luísa Sonza
95,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,33,—,1,Tarcísio do Acordeon
96,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,—,1,João Gomes
97,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,24,—,1,Tayrone
98,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,12,61,23,Mc Jacaré
99,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,83,—,1,Thiaguinho
100,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,50,82,13,Beyoncé
