rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,1,2,4,Zé Felipe
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,10,Xamã
3,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,3,5,5,Dj Guuga
4,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,3,15,Mari Fernandez
5,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,4,15,Zé Felipe
6,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,6,57,2,PEDRO SAMPAIO
7,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,7,28,2,MC Rogerinho
8,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,5,6,6,Hugo & Guilherme
9,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,9,13,Gusttavo Lima
10,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,7,6,Chefin
11,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,11,13,7,Mc Don Juan
12,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,5,8,15,George Henrique & Rodrigo
13,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,1,12,18,Paulo Pires
14,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,12,14,12,Wesley Safadão
15,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,10,19,Marília Mendonça
16,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,16,11,Jorge & Mateus
17,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,15,15,4,Anitta
18,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,11,19,PEDRO SAMPAIO
