rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,2,17,Manu
2,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,18,Dj GBR
3,spotify:track:6XvFnICxXsVc8OK4eh1E9b,Tem Café,3,5,5,Henry Freitas
4,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,2,3,6,Lauana Prado
5,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,5,16,6,PEDRO SAMPAIO
6,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,6,10,6,Luan Santana
7,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,9,44,Grupo Menos É Mais
8,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,6,6,6,MC PH
9,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,3,8,13,Tropa do Bruxo
10,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,7,7,8,Chefin
11,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,5,13,19,Zé Neto & Cristiano
12,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,12,12,8,Leo Santana
13,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,11,17,Simone Mendes
14,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,15,26,Felipe Amorim
15,spotify:track:56JVZMurnXPoy1HbB4dcNV,Abismo,15,22,12,Manu
16,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,6,14,13,GREGO
17,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,4,19,35,Guilherme & Benuto
18,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,6,18,20,Gusttavo Lima
19,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),9,17,9,Isadora Pompeo
20,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),2,23,25,MC Kevin o Chris
21,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,19,21,8,Ana Castela
22,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,A Gente Se Entrega,17,20,9,NATTAN
