rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,7,DENNIS
2,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,1,2,23,Simone Mendes
3,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,4,22,AgroPlay
4,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,3,19,Israel & Rodolffo
5,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,5,8,6,Kadu Martins
6,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,5,5,3,Dyamante DJ
7,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,7,19,2,Mc Livinho
8,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,6,27,NATTAN
9,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",9,11,3,Mc Pedrinho
10,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,10,17,Grupo Menos É Mais
11,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,7,8,Veigh
12,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",12,14,4,Melody
13,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,12,12,5,Leo Santana
14,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,9,31,Marília Mendonça
15,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,6,13,21,Zé Neto & Cristiano
16,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,15,23,Matheus & Kauan
17,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,12,20,21,Guilherme & Benuto
18,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,10,18,23,Henrique & Juliano
19,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,13,16,11,Eric Land
20,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,11,17,12,MC Kevin o Chris
21,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,6,22,15,Grandão Vaqueiro
22,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,21,21,5,Luan Santana
23,spotify:track:6F0ldIcRC6oCcn3hDukg9T,Cadê Seu Namorado Moça?,23,26,7,Thales Lessa
24,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,24,36,Israel & Rodolffo
25,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,8,23,20,MC Rogerinho
26,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),3,27,11,Matuê
27,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,5,25,9,MC Caverinha
28,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,30,43,Gustavo Mioto
29,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,20,32,24,Gustavo Mioto
30,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,9,28,15,KayBlack
31,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,31,31,WIU
32,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,32,33,8,Guilherme & Benuto
33,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,24,35,8,Veigh
34,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,36,17,Zé Felipe
35,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,25,34,15,Luan Pereira
36,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,20,38,15,Hugo & Guilherme
37,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,21,37,17,Clayton & Romário
38,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,15,43,24,Gusttavo Lima
39,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,39,59,2,Zé Neto & Cristiano
40,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),1,44,37,Kadu Martins
41,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,30,40,8,Zé Neto & Cristiano
42,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,32,48,8,Felipe Amorim
43,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,25,39,8,MC Guh SR
44,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,14,51,13,Felipe Amorim
45,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,45,—,1,Ana Castela
