rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,1,15,Matheus Fernandes
2,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,2,6,João Gomes
3,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,3,12,Felipe Amorim
4,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,4,10,MC Rogerinho
5,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,5,6,8,Mari Fernandez
6,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,5,14,Davi Kneip
7,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,7,8,13,Leo Santana
8,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,3,7,6,Jovem Dionisio
9,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,9,55,2,Baco Exu do Blues
10,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,10,4,Mc Don Juan
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,11,23,Hugo & Guilherme
12,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,11,13,29,Wesley Safadão
13,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,6,14,10,Luan Santana
14,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,12,12,Gusttavo Lima
15,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,9,19,PEDRO SAMPAIO
16,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,14,15,6,O Tubarão
17,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,1,16,21,Zé Felipe
18,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,17,17,7,Jorge & Mateus
19,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,20,12,Matuê
20,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,3,18,19,MC Rogerinho
21,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,21,32,Mari Fernandez
22,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,10,19,28,Jorge & Mateus
23,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),12,22,4,Kate Bush
24,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,24,—,1,Zé Felipe
25,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,12,23,12,Harry Styles
26,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,24,24,9,MC Braz
27,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,25,27,Xamã
28,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,18,26,36,Henrique & Juliano
29,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),29,31,3,Gusttavo Lima
30,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,10,28,20,Luan Santana
31,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,15,29,12,Teto
32,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),16,27,9,Anitta
33,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,30,11,L7NNON
34,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,34,34,5,Wesley Safadão
35,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,5,33,32,George Henrique & Rodrigo
36,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,36,36,11,Guilherme & Benuto
37,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,32,30,Gusttavo Lima
38,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,38,39,5,Henrique & Juliano
