rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,12,Marília Mendonça
2,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,2,3,Zé Felipe
3,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,3,12,NATTAN
4,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,4,8,AgroPlay
6,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,7,12,Israel & Rodolffo
7,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,6,8,8,MC Xenon
8,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,8,10,6,MC Rogerinho
9,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,9,12,WIU
10,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,10,13,7,Zé Neto & Cristiano
11,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,11,15,9,Matheus & Kauan
12,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,11,12,Gustavo Mioto
13,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,6,10,Leo Santana
14,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,10,14,9,Henrique & Juliano
15,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,15,18,9,Simone Mendes
16,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,12,12,3,MC Kevin o Chris
17,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,15,20,10,Gusttavo Lima
18,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,18,19,5,Israel & Rodolffo
19,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,11,16,12,Matheus Fernandes
20,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,20,23,7,Guilherme & Benuto
21,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),5,21,12,Kadu Martins
22,spotify:track:2orGm2E68ODFYOURjaES62,Felina,12,22,12,WIU
23,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,22,27,8,Mari Fernandez
24,spotify:track:6B5Nqt8DAciT2oqevzGbUc,Pilantra,17,17,4,Jão
25,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,2,25,12,Miley Cyrus
26,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,19,33,12,Maiara & Maraisa
27,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,13,26,12,Mc Tato
28,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,28,38,3,Clayton & Romário
29,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,6,31,12,Zé Felipe
30,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,16,34,12,Matheus & Kauan
31,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,31,—,1,Wesley Safadão
32,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,4,29,12,Anitta
33,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,11,28,12,Sony no Beat
34,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,34,45,4,Hugo & Guilherme
35,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,7,24,12,DJ Jeeh FDC
36,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,3,30,9,Zé Felipe
37,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,26,40,12,Jorge & Mateus
38,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,19,42,12,Guilherme & Benuto
39,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,26,36,10,Gustavo Mioto
40,spotify:track:72vwG7lcOTPgT2YgYpg505,Hackearam-me,40,52,3,Marília Mendonça
41,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,24,44,12,Israel & Rodolffo
42,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,42,92,2,Henrique & Juliano
43,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,41,41,12,MC Cabelinho
44,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,15,35,12,Orochi
45,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,16,47,12,Mari Fernandez
46,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,30,53,12,Ana Castela
47,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,16,37,12,Wesley Safadão
48,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,35,39,12,MC Cabelinho
49,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,34,60,11,Naiara Azevedo
50,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),36,59,12,Zé Vaqueiro
51,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,32,32,4,Mc IG
52,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,32,48,12,Harry Styles
53,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,49,49,5,Veigh
54,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,4,43,12,MC MENOR HR
55,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,25,54,12,Felipe e Rodrigo
56,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,56,—,1,Luan Pereira
57,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,48,55,9,Mc Paiva ZS
58,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,58,—,1,Grandão Vaqueiro
59,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,14,72,12,Guilherme & Benuto
60,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,60,90,2,Filipe Ret
