rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,2,4,PEDRO SAMPAIO
2,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,1,1,6,Zé Felipe
3,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,4,12,Xamã
4,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,3,3,4,MC Rogerinho
5,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,3,5,7,Dj Guuga
6,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,5,9,8,Hugo & Guilherme
7,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,8,15,Gusttavo Lima
8,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,6,17,Mari Fernandez
9,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,14,8,Chefin
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,7,17,Zé Felipe
11,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,10,10,9,Mc Don Juan
12,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,5,13,17,George Henrique & Rodrigo
13,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,13,20,4,Gloria Groove
14,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,11,11,14,Wesley Safadão
15,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,15,15,7,Simone & Simaria
16,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,16,21,Marília Mendonça
17,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,17,21,5,Luan Santana
18,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,14,18,13,Jorge & Mateus
19,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,19,28,5,LUDMILLA
20,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,17,21,PEDRO SAMPAIO
21,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,21,25,4,Luísa Sonza
22,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,1,12,20,Paulo Pires
23,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,11,23,13,DJ Matt D
24,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,15,24,6,Anitta
25,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,26,21,Henrique & Juliano
26,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,15,19,12,Melody
27,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,7,27,18,Marília Mendonça
28,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),28,30,5,MC Teteu
29,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,34,16,Henrique & Juliano
30,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,18,31,21,Henrique & Juliano
31,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,4,29,13,Anitta
32,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,22,21,Zé Felipe
33,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",33,70,2,Vulgo FK
34,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,18,36,13,Luísa Sonza
35,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,35,42,2,Pineapple StormTv
36,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,24,35,8,Jão
37,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,33,33,9,Matheus & Kauan
38,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,12,38,20,Marina Sena
39,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,5,43,21,Marília Mendonça
40,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,24,44,21,Tayrone
41,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,4,32,21,Felipe Amorim
42,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,8,46,21,Gusttavo Lima
43,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,43,48,6,MC Josh
44,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,14,47,21,Zé Neto & Cristiano
45,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,12,39,21,Matheus Fernandes
46,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,40,21,João Gomes
47,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,47,51,5,Zé Neto & Cristiano
48,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,43,72,13,Mc Poze do Rodo
49,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,33,41,21,Tarcísio do Acordeon
50,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,38,58,15,Mc Davi
51,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,46,84,17,Anitta
52,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,6,37,21,Tarcísio do Acordeon
53,spotify:track:1FGRA5pMtBqJLNAaSBia2x,Maldivas,53,96,2,LUDMILLA
54,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,28,55,18,Marília Mendonça
55,spotify:track:4k7mlEX9Nc3Ei0nFQ4cOE3,LEILÃO,38,60,14,Gloria Groove
56,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,42,67,9,Matuê
