rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,1,7,Felipe Amorim
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,3,10,Matheus Fernandes
3,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,2,9,Davi Kneip
4,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,7,5,MC Rogerinho
5,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,5,—,1,João Gomes
6,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,4,7,Gusttavo Lima
7,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,9,14,PEDRO SAMPAIO
8,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,5,7,Matuê
9,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,6,6,5,Luan Santana
10,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,1,11,16,Zé Felipe
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,8,18,Hugo & Guilherme
12,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,11,14,24,Wesley Safadão
13,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,3,15,14,MC Rogerinho
14,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,10,10,23,Jorge & Mateus
15,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,12,6,L7NNON
16,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),16,22,4,Anitta
17,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,17,22,Xamã
18,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,13,16,7,Harry Styles
19,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,20,27,Mari Fernandez
20,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,15,18,7,Teto
21,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,13,27,Anitta
22,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,10,19,15,Luan Santana
23,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,23,31,8,Leo Santana
24,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,3,27,17,Dj Guuga
25,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,5,21,27,George Henrique & Rodrigo
26,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,18,25,31,Henrique & Juliano
27,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,10,32,19,Mc Don Juan
28,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,23,25,Gusttavo Lima
29,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,28,31,Marília Mendonça
30,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,29,29,4,Mc Delux
31,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,24,24,15,Zé Neto & Cristiano
32,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,26,31,Henrique & Juliano
33,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,33,39,3,Mari Fernandez
34,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,34,38,4,MC Braz
35,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,34,34,7,Mc Gabzin
36,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,36,44,2,Jorge & Mateus
37,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,9,37,14,Gloria Groove
38,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,38,46,3,Mc Pepeu
39,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,33,14,Luísa Sonza
40,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,35,27,Zé Felipe
41,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,40,18,Chefin
42,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,30,26,Henrique & Juliano
43,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,35,41,23,Mc Poze do Rodo
44,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,36,43,9,Matheus & Kauan
45,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,7,42,28,Marília Mendonça
46,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,44,45,6,Guilherme & Benuto
47,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,35,47,12,Pineapple StormTv
48,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,36,36,5,Hugo & Guilherme
49,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,49,—,1,O Tubarão
50,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,37,48,6,NATTAN
51,spotify:track:4PF5eA9ng97UcU5hjaqQnc,Meu Cafofo,51,56,9,João Gomes
52,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,1,51,30,Paulo Pires
53,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,33,58,31,Tarcísio do Acordeon
54,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,55,31,João Gomes
55,spotify:track:1Unc6luL5ueLO3t8I5YtpP,Rave e Bagaceira,55,61,4,Anderson & Vei da Pisadinha
56,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",26,50,12,Vulgo FK
57,spotify:track:0p5QJ6nbkeKlNmrXzG8mF0,Digo Ou Não Digo,57,77,2,João Gomes
58,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,11,49,23,DJ Matt D
59,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,8,64,31,João Gomes
60,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,33,53,19,Matheus & Kauan
61,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,49,52,12,George Henrique & Rodrigo
62,spotify:track:1KcLptSHclzzV3lI3RnN3f,Romantizou,62,74,5,Os Barões Da Pisadinha
63,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,25,78,31,João Gomes
64,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,15,60,22,Melody
65,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,54,54,4,João Bosco e Gabriel
66,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,66,—,1,Jovem Dionisio
67,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,12,80,31,Japãozin
68,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,66,31,Zé Felipe
69,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,24,63,18,Jão
70,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,68,69,6,L7NNON
71,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,6,68,31,Tarcísio do Acordeon
72,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,19,65,15,LUDMILLA
73,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,15,70,17,Simone & Simaria
74,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,42,62,19,Matuê
75,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,18,76,23,Luísa Sonza
76,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,2,67,31,PEDRO SAMPAIO
