rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,10,Gustavo Mioto
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,2,8,3,MC MENOR HR
3,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),3,12,4,Kadu Martins
4,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,2,30,Mari Fernandez
5,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,3,3,3,Israel & Rodolffo
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,4,21,Guilherme & Benuto
7,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,5,13,Guilherme & Benuto
8,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,7,16,Mc Paiva ZS
9,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,5,6,17,Felipe Amorim
10,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,9,9,6,Matheus & Kauan
11,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,11,15,7,Dj LK da Escócia
12,spotify:track:2orGm2E68ODFYOURjaES62,Felina,8,11,8,WIU
13,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,10,7,Gusttavo Lima
14,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,6,13,12,Diego & Victor Hugo
15,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,16,23,L7NNON
16,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,14,37,Matheus Fernandes
17,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,12,17,16,Jorge & Mateus
18,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,18,20,9,Kevi Jonny
19,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,18,28,João Gomes
20,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,3,21,10,Pineapple StormTv
22,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,22,29,3,Orochi
23,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,19,34,Felipe Amorim
24,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),10,24,9,Sam Smith
25,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,22,45,Hugo & Guilherme
26,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,28,22,Ana Castela
27,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,23,18,Marília Mendonça
28,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,25,32,MC Rogerinho
29,spotify:track:3QXBOJvtqhMcFR3ZPfyRQ4,Não Fosse Tão Tarde - Ao Vivo,29,34,6,Wesley Safadão
30,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,7,26,35,Leo Santana
31,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,23,30,20,Kadu Martins
32,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,15,27,29,Jorge & Mateus
33,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,12,38,34,Harry Styles
34,spotify:track:63q5Qb9ERTpapEmARxKBE6,Pega o Guanabara - Ao Vivo,34,36,7,Wesley Safadão
35,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,15,40,16,DJ AK BR
36,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,1,32,19,Nivaldo Marques
37,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,37,51,24,Mari Fernandez
38,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,32,41,17,MC Cabelinho
39,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,28,33,15,Matheus & Kauan
40,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,32,39,16,Murilo Huff
41,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,10,47,22,MC Tairon
42,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,12,50,18,Mc Jacaré
43,spotify:track:3TIb3AjhRWnxQGQEcFmgDL,Tu Tava Na Revoada - Ao Vivo,9,31,27,Wesley Safadão
44,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,34,43,26,Mari Fernandez
45,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,45,53,7,MC Cabelinho
46,spotify:track:5wAoMzm5LaIvGED0JNeBfY,Cão Sem Dono,41,42,7,Mari Fernandez
47,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,10,35,20,Gusttavo Lima
48,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,37,45,25,Israel & Rodolffo
49,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,44,58,Henrique & Juliano
50,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,24,48,23,Felipe Amorim
51,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,54,34,Matuê
52,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,24,52,36,Matheus & Kauan
53,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,46,23,Zé Felipe
54,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,22,49,16,Hugo & Guilherme
55,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,20,57,19,MC Kevin o Chris
56,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,39,61,20,NATTAN
57,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,37,15,Luan Santana
58,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,58,68,4,João Gomes
59,spotify:track:1JIKO27MqvSpjrnUCT6fLC,A Caminho do Bega,59,82,2,DJ Patrick Muniz
60,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,60,54,Mari Fernandez
61,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,74,36,Davi Kneip
62,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,55,63,6,Mc Paiva ZS
63,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,59,34,Gusttavo Lima
64,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,64,—,1,Guilherme & Benuto
65,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,50,70,8,Beyoncé
66,spotify:track:4NWqFtTU1wnvlsU7XjeIGM,Mina Sensação,55,69,4,Deavele Santos
67,spotify:track:2SOeAhvJfh7HsGYPVtGG8H,Aqui Na Parma Tu Vem Pra Fuder,67,71,4,DJ CIRILO DE CAXIAS
68,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),39,72,10,David Guetta
69,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,62,58,Marília Mendonça
70,spotify:track:58VUikMywNpRelwEx8khdh,Mel do Egito,63,73,6,Leandro e as Abusadas
71,spotify:track:5FNdfRpHs4u5vto9YdY3ft,Eu Já Tava Bem - Ao Vivo,11,56,51,Wesley Safadão
72,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,72,—,1,Zé Felipe
73,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,36,58,27,Henrique & Juliano
74,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,74,—,1,Yago Oproprio
75,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,55,53,Henrique & Juliano
76,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,17,75,5,Taylor Swift
77,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,37,64,33,NATTAN
78,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,63,78,11,Chris Brown
79,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,29,76,22,Mari Fernandez
80,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,5,77,54,George Henrique & Rodrigo
81,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,80,26,Mc Don Juan
82,spotify:track:19RJnfs2PjkAooSGjUQqix,Amor ou Esquema,43,66,14,Wesley Safadão
83,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,83,83,6,MC Marks
84,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,75,85,7,Arctic Monkeys
85,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),85,—,1,Shakira
86,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,18,67,58,Henrique & Juliano
87,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,8,89,19,Luísa Sonza
88,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,46,65,13,LUDMILLA
89,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,33,86,58,Tarcísio do Acordeon
90,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,6,79,32,Luan Santana
