rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,1,1,6,Paulo Pires
2,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,2,7,Marília Mendonça
3,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,7,3,Zé Felipe
4,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,3,3,7,PEDRO SAMPAIO
5,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,4,7,Avine Vinny
6,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,2,6,7,Zé Felipe
7,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,4,8,7,Henrique & Juliano
8,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,5,5,7,Marília Mendonça
9,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,9,10,4,Marília Mendonça
10,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,9,7,João Gomes
11,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,4,11,7,Felipe Amorim
12,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,12,14,3,George Henrique & Rodrigo
13,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,5,12,7,DG e Batidão Stronda
14,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,14,25,3,Mari Fernandez
15,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,10,13,5,MC Levin
16,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,6,15,7,Tarcísio do Acordeon
17,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,12,16,7,Japãozin
18,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,14,19,7,Zé Neto & Cristiano
19,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,8,18,7,João Gomes
20,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,12,17,6,Marina Sena
21,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,8,20,7,Gusttavo Lima
22,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,22,23,7,Henrique & Juliano
23,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,12,24,7,Matheus Fernandes
24,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",9,21,7,DJ Patrick Muniz
25,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,20,26,7,MC Rogerinho
26,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,11,22,7,João Gomes
27,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,15,27,7,Mc Anjim
28,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,28,32,7,Matheus & Kauan
29,spotify:track:6RMYuqlTn8777j5arY9zhC,Cena de Amor,17,34,7,Brisa Star
30,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,12,28,7,John Amplificado
31,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,18,35,7,Gloria Groove
32,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,22,36,7,Zé Felipe
33,spotify:track:5SwyN9hzmWjBsINlif8li8,Ficha Limpa,18,40,7,Gusttavo Lima
34,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,21,38,7,Zé Neto & Cristiano
35,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,18,29,4,Marília Mendonça
36,spotify:track:6AQqsFYtCQi9m7MJcMjGup,Superação Digital,24,33,7,Xand Avião
37,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,25,31,7,João Gomes
38,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,33,39,7,Tayrone
39,spotify:track:7MLCxrDoxcTRg1u3QAGE5a,Bloqueado - Ao Vivo,39,—,1,Gusttavo Lima
40,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,28,37,4,Marília Mendonça
41,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,41,44,7,Tarcísio do Acordeon
42,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,23,42,7,Matuê
43,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,36,45,7,Vitor e Luan
44,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,30,30,7,Gusttavo Lima
45,spotify:track:3Lw41pfko5XMrsHRtlbo2k,Bota a Mão no Chão,45,49,3,Felipe Cardoso DJ
46,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),29,52,7,Lil Nas X
47,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,47,47,3,Anitta
48,spotify:track:0lSY2zOUEeB5sfSnkw8M9l,Será que Dá Certo,48,48,3,Vitor Fernandes
49,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,32,50,7,Luan Santana
50,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,17,46,4,Marília Mendonça
