rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,24,Mari Fernandez
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,7,4,Gustavo Mioto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,4,7,Guilherme & Benuto
4,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,6,31,Matheus Fernandes
5,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,2,10,Mc Paiva ZS
6,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,3,17,L7NNON
7,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,11,15,Guilherme & Benuto
8,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,9,22,João Gomes
9,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,3,5,4,Pineapple StormTv
10,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,6,8,11,Felipe Amorim
11,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,1,16,13,Nivaldo Marques
12,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),12,12,3,Sam Smith
13,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,13,28,Felipe Amorim
14,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,10,16,Ana Castela
15,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,15,19,6,Diego & Victor Hugo
16,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,17,9,Luan Santana
17,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,20,26,MC Rogerinho
18,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,15,12,Marília Mendonça
19,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,12,18,10,Jorge & Mateus
20,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,10,14,14,Gusttavo Lima
21,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,21,39,Hugo & Guilherme
22,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,9,27,21,Wesley Safadão
23,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,7,23,29,Leo Santana
24,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,15,22,10,DJ AK BR
25,spotify:track:2orGm2E68ODFYOURjaES62,Felina,25,47,2,WIU
26,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,12,24,28,Harry Styles
27,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,15,25,23,Jorge & Mateus
28,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,12,26,12,Mc Jacaré
29,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,29,76,3,Kevi Jonny
30,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,29,17,Zé Felipe
31,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,10,31,16,MC Tairon
32,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,28,32,9,Matheus & Kauan
33,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,22,30,10,Hugo & Guilherme
34,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,36,28,Gusttavo Lima
35,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,34,34,20,Mari Fernandez
36,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,33,30,Davi Kneip
37,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,20,37,13,MC Kevin o Chris
38,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,36,77,21,Henrique & Juliano
39,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,24,42,17,Felipe Amorim
40,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,40,—,1,Gusttavo Lima
41,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,24,35,30,Matheus & Kauan
42,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,39,50,14,NATTAN
43,spotify:track:19RJnfs2PjkAooSGjUQqix,Amor ou Esquema,43,54,8,Wesley Safadão
44,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,11,44,45,Wesley Safadão
45,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,23,28,14,Kadu Martins
46,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,40,28,Matuê
47,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,35,38,10,Murilo Huff
48,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,49,48,Mari Fernandez
49,spotify:track:4W4tbncuac0neqLbTpByen,Botadão,48,48,10,Eric Land
50,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,37,39,19,Israel & Rodolffo
51,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,41,41,4,Mc Kitinho
52,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,52,—,1,Dj LK da Escócia
53,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,4,60,52,Henrique & Juliano
54,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,6,57,26,Luan Santana
55,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,45,45,11,MC Cabelinho
56,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,8,43,13,Luísa Sonza
57,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,38,53,7,Kweller
58,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,37,67,27,NATTAN
59,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,29,52,16,Mari Fernandez
60,spotify:track:4NWqFtTU1wnvlsU7XjeIGM,Mina Sensação,55,55,3,Deavele Santos
61,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),61,61,4,David Guetta
62,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,16,46,9,Mario Mc
63,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,63,88,2,Beyoncé
64,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,52,82,18,Mari Fernandez
65,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,65,52,Marília Mendonça
66,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,64,47,Henrique & Juliano
67,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,36,59,26,Hugo & Guilherme
68,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,58,20,Mc Don Juan
69,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,37,51,12,Paulo e Nathan
70,spotify:track:5wAoMzm5LaIvGED0JNeBfY,Cão Sem Dono,70,—,1,Mari Fernandez
71,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,70,80,42,Grupo Menos É Mais
72,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,18,83,52,Henrique & Juliano
73,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,33,75,52,Tarcísio do Acordeon
74,spotify:track:2johnzqTeIdgF1kUV4Yaeo,Me Chama de Amor,14,62,22,O Tubarão
75,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,5,66,48,George Henrique & Rodrigo
76,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,69,69,5,Chris Brown
77,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,84,52,João Gomes
78,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,46,63,7,LUDMILLA
79,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,54,71,19,Murilo Huff
80,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,10,81,36,Luan Santana
81,spotify:track:7uWbLSH88a5oNqZrbkTLxN,Deixa Eu Te Superar,68,68,3,Tarcísio do Acordeon
82,spotify:track:6sZYCAvTEYjTtQ9Tt5ACbX,São João Chegou,59,95,2,Renanzin Pressão
83,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,83,—,1,MC Cabelinho
84,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,83,87,2,Thiaguinho
85,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,9,78,18,Baco Exu do Blues
86,spotify:track:2zpiccjPSl315SqthyDf9j,Na Movimentação (feat. Faixa Rosa),72,72,5,Mc Livinho
87,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,10,56,44,Jorge & Mateus
88,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,22,74,25,MC Braz
89,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,4,89,46,Gusttavo Lima
90,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,25,100,2,João Gomes
91,spotify:track:7gRFDGEzF9UkBV233yv2dc,Shut Down,48,70,4,BLACKPINK
92,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,49,93,11,Mc Poze do Rodo
93,spotify:track:0sTEUNuhl7f77EqolDIPh7,Depende,3,—,1,Dj Guuga
94,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,40,79,14,MC CH da Z.O
95,spotify:track:03pFyMtq7LijCYpKoSS0Wq,Para de Me Iludir - Ao Vivo Em Teresina,95,—,1,Xand Avião
96,spotify:track:1XcmAgREOuJQb91sr68AAD,Sentadinha Diferente,55,73,12,Dyamante DJ
97,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,97,—,1,Arctic Monkeys
98,spotify:track:63q5Qb9ERTpapEmARxKBE6,Pega o Guanabara - Ao Vivo,98,—,1,Wesley Safadão
99,spotify:track:4PbwSgOB9azMBS0eGO2tX7,A Um Beijo - Ao Vivo,99,—,1,Wesley Safadão
100,spotify:track:4PF5eA9ng97UcU5hjaqQnc,Meu Cafofo,49,90,30,João Gomes
