rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,1,10,Felipe Amorim
2,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),2,2,9,MC Kevin o Chris
3,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,3,3,9,Felipe Amorim
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,4,28,Grupo Menos É Mais
5,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,5,8,2,Dj GBR
6,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,6,18,DENNIS
7,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,7,7,4,Luan Pereira
8,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,8,17,5,MC Rogerinho
9,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,2,9,38,NATTAN
10,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,2,12,17,Kadu Martins
11,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,7,13,12,Ana Castela
12,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,2,5,5,Luísa Sonza
13,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,6,11,11,Vulgo FK
14,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,3,10,13,Mc Livinho
15,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,14,19,Veigh
16,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,16,28,4,Gusttavo Lima
17,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,13,18,22,Eric Land
18,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,2,16,33,AgroPlay
19,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,1,15,34,Simone Mendes
20,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,11,21,5,Luísa Sonza
21,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",9,19,15,Melody
22,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,22,33,3,Zé Neto & Cristiano
23,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,20,30,Israel & Rodolffo
24,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,22,27,11,Gusttavo Lima
25,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,22,42,Marília Mendonça
26,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",4,25,14,Mc Pedrinho
27,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,25,26,13,Zé Neto & Cristiano
28,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,28,—,1,Manu
29,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,29,—,1,MC Maneirinho
30,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,12,30,32,Guilherme & Benuto
