rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,23,Mari Fernandez
2,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,5,9,Mc Paiva ZS
3,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,2,16,L7NNON
4,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,16,6,Guilherme & Benuto
5,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,3,3,3,Pineapple StormTv
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,7,30,Matheus Fernandes
7,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,7,36,3,Gustavo Mioto
8,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,6,8,10,Felipe Amorim
9,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,1,9,21,João Gomes
10,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,6,15,Ana Castela
11,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,4,14,Guilherme & Benuto
12,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),12,25,2,Sam Smith
13,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,14,27,Felipe Amorim
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,10,11,13,Gusttavo Lima
15,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,5,10,11,Marília Mendonça
16,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,1,15,12,Nivaldo Marques
17,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,13,8,Luan Santana
18,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,12,12,9,Jorge & Mateus
19,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,19,35,5,Diego & Victor Hugo
20,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,19,25,MC Rogerinho
21,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,5,20,38,Hugo & Guilherme
22,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,15,17,9,DJ AK BR
23,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,7,27,28,Leo Santana
24,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,12,18,27,Harry Styles
25,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,15,22,22,Jorge & Mateus
26,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,12,24,11,Mc Jacaré
27,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,9,34,20,Wesley Safadão
28,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,23,26,13,Kadu Martins
