rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,1,14,Hugo & Guilherme
2,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,2,5,Davi Kneip
3,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,3,6,3,Gusttavo Lima
4,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,5,3,Felipe Amorim
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,4,4,19,Jorge & Mateus
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,12,5,Matheus Fernandes
7,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,3,10,PEDRO SAMPAIO
8,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,5,7,11,Luan Santana
9,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,8,12,Zé Felipe
10,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,10,11,12,Zé Neto & Cristiano
11,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,9,21,Gusttavo Lima
12,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,10,10,3,Matuê
13,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,16,26,George Henrique & Rodrigo
14,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),14,62,2,L7NNON
15,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,13,18,Xamã
16,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,18,27,Henrique & Juliano
17,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,14,7,Anitta
18,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,6,15,10,MC Rogerinho
19,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,19,—,1,Luan Santana
20,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,19,27,Henrique & Juliano
21,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,17,17,3,Teto
22,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,20,27,Marília Mendonça
23,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,13,21,26,Henrique & Juliano
24,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,23,24,5,Matheus & Kauan
25,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,17,23,20,Wesley Safadão
26,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,26,38,4,Hugo & Guilherme
27,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,25,23,Mari Fernandez
28,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,6,22,14,Chefin
29,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,29,—,1,Hugo & Guilherme
30,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,26,13,Dj Guuga
31,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,30,30,3,Harry Styles
32,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,32,44,10,Guilherme & Benuto
33,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,31,31,10,George Henrique & Rodrigo
34,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,16,28,16,Matheus & Kauan
35,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,32,23,Zé Felipe
36,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,14,29,10,Gloria Groove
37,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,14,33,27,Tayrone
38,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,34,24,Marília Mendonça
39,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",21,27,8,Vulgo FK
40,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,36,26,Paulo Pires
41,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,41,41,4,Mc Gabzin
42,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,8,35,19,DJ Matt D
43,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,43,27,Gusttavo Lima
44,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,18,40,24,Marília Mendonça
45,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,45,51,4,João Bosco e Gabriel
46,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),17,37,12,MC Teteu
47,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,19,39,10,Luísa Sonza
48,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,48,48,3,Henrique & Juliano
49,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,18,42,15,Mc Don Juan
50,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,34,46,19,Mc Poze do Rodo
51,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,50,27,Gusttavo Lima
52,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,52,52,3,Israel & Rodolffo
53,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,6,47,27,PEDRO SAMPAIO
54,spotify:track:7tITqCiDuMqKfWhibaF8V7,Insônia 2,40,45,3,Tribo da Periferia
55,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,49,27,Marília Mendonça
56,spotify:track:3SWjpNMVUi5UXz096NbfPr,Gata (feat. Chencho Corleone),56,—,1,Anitta
57,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,34,53,8,Pineapple StormTv
58,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,28,57,27,Clayton & Romário
59,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,32,61,27,Henrique & Juliano
60,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,63,27,Zé Neto & Cristiano
61,spotify:track:3YOxWp8HTyp5FivmCU5p8z,Desgastou - Ao Vivo,47,60,5,Henrique & Juliano
62,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,62,73,2,Paulo e Nathan
63,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,39,64,25,Gusttavo Lima
64,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,42,56,11,Lucas Lucco
65,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,31,55,22,Mc Davi
66,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,43,59,16,Matuê
67,spotify:track:6wrkP23fHC8KDHCfs8MpJ9,Chá De Casa Nova - Ao Vivo,49,75,19,Henrique & Juliano
68,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,71,27,Zé Neto & Cristiano
69,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,18,54,14,Simone & Simaria
70,spotify:track:36mUWhjTM3GNpncYy7RR6z,Boca Ocupada,70,81,8,Cleber & Cauan
71,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,35,58,13,Jão
72,spotify:track:0vlAXslkVt1HZ4Rx6JekLY,Terminei Mal Terminado - Ao Vivo,55,74,9,Henrique & Juliano
73,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,76,27,Zé Felipe
74,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,8,80,27,João Gomes
75,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,66,72,7,JC NO BEAT
76,spotify:track:2TkyXnE0OB6Yo9zuzv9B4e,Cruzeiro da Revoada,56,68,19,Hungria Hip Hop
77,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,10,79,27,Gusttavo Lima
78,spotify:track:1dzF8qI9VkDnO0dkMfR529,Oi Deus - Ao Vivo,39,65,9,Hugo & Guilherme
79,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,19,78,27,Diego & Victor Hugo
80,spotify:track:4GOs8fPjp4M9CBHanTMwsQ,Seu Perfil - Ao Vivo,54,77,12,Henrique & Juliano
81,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,81,82,2,L7NNON
82,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,82,91,2,Leo Santana
83,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,27,—,1,Max e Luan
84,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,25,70,10,LUDMILLA
85,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,85,—,1,MC Braz
86,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),36,66,27,Lil Nas X
87,spotify:track:67fTDdGkHk1G5IZokS4uML,Esse Barulho,62,84,13,Murilo Huff
88,spotify:track:5XRdxozwctyTQ8uIM07ziU,Celular 2,88,95,5,Murilo Huff
89,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,89,—,1,Grupo Menos É Mais
90,spotify:track:0bvLxd9bUAYGKkpMYdR60F,Mal Caminho,90,90,2,DJ JOAO DA INESTAN
91,spotify:track:0j8nXyOr5UXWHqy0BBnZ6L,Dá Intimidade Pra Ver - Ao Vivo,57,93,2,Israel & Rodolffo
92,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,92,27,Avine Vinny
93,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,93,—,1,Léo & Raphael
94,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,16,94,24,Marília Mendonça
95,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,18,100,27,Matheus Fernandes
96,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,48,83,22,Imagine Dragons
97,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,19,69,19,Anitta
98,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,57,85,7,Elton John
99,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,16,97,27,Matheus & Kauan
100,spotify:track:5tQj2mfKL21L9mQ643z5zw,Boys Don't Cry,26,67,12,Anitta
