rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,6,MC Kevin o Chris
2,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,2,5,Felipe Amorim
3,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,3,8,Ana Castela
4,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,7,7,Gusttavo Lima
5,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,5,5,10,Zé Neto & Cristiano
6,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,4,14,DENNIS
7,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,6,6,4,Felipe Amorim
8,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,8,12,9,Luan Pereira
9,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,10,26,Israel & Rodolffo
10,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,10,16,25,Grupo Menos É Mais
11,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,9,10,Mc Livinho
12,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,11,31,Simone Mendes
13,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,14,28,Zé Neto & Cristiano
14,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,14,15,7,Vulgo FK
15,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,4,8,12,Kadu Martins
16,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,13,30,AgroPlay
17,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,18,30,Henrique & Juliano
18,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,12,17,16,Guilherme & Benuto
19,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,22,29,Guilherme & Benuto
20,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,9,20,15,Veigh
21,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,21,12,Luan Santana
22,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",4,19,11,Mc Pedrinho
23,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,8,23,24,Zé Neto & Cristiano
24,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,24,27,5,Gusttavo Lima
25,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",25,25,10,Melody
26,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,5,24,30,Matheus & Kauan
27,spotify:track:2nfnhFDhwMet9yZodpGfn3,AMBIENTE ERRADO - Ao Vivo,27,35,4,Luan Santana
28,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,28,34,11,Diego & Victor Hugo
29,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,30,38,Marília Mendonça
30,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,29,37,7,Maiara & Maraisa
31,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",9,26,10,Dyamante DJ
