rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,1,2,25,Zé Neto & Cristiano
2,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,2,45,2,Lauana Prado
3,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,1,12,Manu
4,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,3,14,Dj GBR
5,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,4,4,32,Guilherme & Benuto
6,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,5,16,Gusttavo Lima
7,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,7,20,2,Luan Santana
8,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,1,6,10,Tropa do Bruxo
9,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,6,8,14,Simone Mendes
10,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,10,11,21,Henrique & Juliano
11,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,8,9,14,Henrique & Juliano
12,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,12,15,5,Ana Castela
13,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,7,7,9,GREGO
14,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,7,10,41,Grupo Menos É Mais
15,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,16,26,Zé Neto & Cristiano
16,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,3,18,47,Simone Mendes
17,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,13,17,Luan Pereira
18,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,18,43,2,MC PH
19,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),12,12,5,Isadora Pompeo
20,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,17,17,3,Chefin
21,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),19,19,17,Ana Castela
22,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,14,46,AgroPlay
23,spotify:track:6Td7nVeAOUz13zhDlUY8jv,CHEIRO NA CAMISETA,23,27,5,Luan Pereira
24,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,17,21,13,Israel & Rodolffo
25,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,24,22,MC Kevin o Chris
26,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,22,24,Ana Castela
27,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,28,23,Gusttavo Lima
28,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,28,33,16,Traia Véia
29,spotify:track:4v7UrPWZL4FJWeL5ZWQ62E,Seu Erro - Ao Vivo Em Nova Iorque / 2022,22,31,9,Henrique & Juliano
30,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,23,21,Felipe Amorim
31,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,31,38,5,Murilo Huff
32,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,30,30,5,Leo Santana
33,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,33,40,3,Matheus & Kauan
34,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,25,45,Guilherme & Benuto
35,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,29,54,Marília Mendonça
36,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,39,44,Zé Neto & Cristiano
37,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,9,34,31,Veigh
38,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,38,95,2,PEDRO SAMPAIO
39,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,35,42,Israel & Rodolffo
40,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,11,32,14,MC Maneirinho
41,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,21,41,28,Hugo & Guilherme
42,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,14,36,17,MC Rogerinho
43,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,37,30,DENNIS
44,spotify:track:4D25RP3yiJWfW9utK9dMyv,Ali Te Ama - Ao Vivo,42,42,7,Rayane & Rafaela
45,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,8,44,40,Zé Neto & Cristiano
46,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,11,46,28,Luan Santana
47,spotify:track:0GTUqRzwAacEI5Pll8YlBA,Amor Não Dá Em Copo - Ao Vivo,41,55,8,Israel & Rodolffo
48,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,5,47,46,Matheus & Kauan
49,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,31,49,7,Marshmello
50,spotify:track:5mmxylfcIlTaTftZwIIj3W,Você Vai Ser Fiel - Ao Vivo Em Nova Iorque / 2022,50,58,3,Henrique & Juliano
51,spotify:track:6PXyRQ9Q0eNlLGsI6GxiYX,Torce o Olho - Ao Vivo,25,50,5,Gusttavo Lima
52,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,54,46,Henrique & Juliano
53,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,14,48,23,Vulgo FK
54,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,28,53,27,Diego & Victor Hugo
55,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,6,51,20,Felipe Amorim
56,spotify:track:4QCwvUs4ob87Tq9VP07Uo3,Loucura,56,—,1,Borges
57,spotify:track:2UbvHgr7BGkH1RzpVaPf3T,Sozinha - Ao Vivo,57,—,1,Gusttavo Lima
58,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",44,62,18,Mc IG
59,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,52,26,Mc Livinho
60,spotify:track:2pRjaIcGc9LOmu7x9XMswA,Calafrio (feat. Henrique & Juliano) - Ao Vivo | Bônus Track,48,63,8,Diego & Victor Hugo
61,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,4,60,28,Kadu Martins
62,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,60,70,5,Sorriso Maroto
63,spotify:track:735MbOmMNSTMmPVrY51LBh,Aqui Tem Alguém - Ao Vivo,54,56,7,Ana Castela
64,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,8,67,25,Luan Pereira
65,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,Agudo Mágico 4,45,61,9,MC K.K
66,spotify:track:5ZkwwBa9DlwuUFbXwrLeXF,Poeirão - Ao Vivo,64,74,6,Guilherme & Benuto
67,spotify:track:4VI4yOAb7fWrFCnuGBIaeG,Carta Aberta,66,66,3,MC Cabelinho
68,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,32,64,29,Eric Land
69,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,27,80,2,Lauana Prado
70,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,71,38,Hugo & Guilherme
71,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,17,75,35,Henrique & Juliano
72,spotify:track:0EhGgIoOPjsqfB2ktrGgJd,Oceano - Ao Vivo,72,85,2,Felipe e Rodrigo
73,spotify:track:54FV2rMVwLusAVnzROB0c1,Mesma História,69,69,3,Orochi
74,spotify:track:5v1Fjk1RDKGqxwNOzGDewL,Então Vai,72,72,2,Zé Felipe
75,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,34,82,31,Israel & Rodolffo
76,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Vem Quebrando,44,68,13,Mc Danone
77,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,29,78,23,Maiara & Maraisa
78,spotify:track:1dNaW9Zy3lSgwylHwR75Ro,Mega Funk Lost,73,73,6,DJ Maninho
79,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,12,76,4,KayBlack
