rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,1,1,6,Hugo & Guilherme
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,2,10,Xamã
3,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,5,13,Gusttavo Lima
4,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,3,4,Zé Felipe
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,6,11,Jorge & Mateus
6,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,4,18,George Henrique & Rodrigo
7,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,6,7,6,Chefin
8,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,8,59,2,PEDRO SAMPAIO
9,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,13,5,Dj Guuga
10,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,10,37,2,MC Rogerinho
11,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,8,19,Marília Mendonça
12,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,9,15,Mari Fernandez
13,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,12,19,Henrique & Juliano
14,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,10,15,Zé Felipe
15,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,15,17,3,Luan Santana
16,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,8,11,11,DJ Matt D
17,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,14,19,Henrique & Juliano
18,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,15,18,Paulo Pires
19,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,16,18,8,Matheus & Kauan
20,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,17,21,12,Wesley Safadão
21,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,18,20,18,Henrique & Juliano
22,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),22,23,4,MC Teteu
23,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,20,22,7,Mc Don Juan
24,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,16,16,Marília Mendonça
25,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,25,33,2,Gloria Groove
26,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,6,19,19,PEDRO SAMPAIO
27,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,14,24,19,Tayrone
28,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,28,31,6,Simone & Simaria
29,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,26,27,4,Anitta
30,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,29,29,4,Zé Neto & Cristiano
31,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,24,32,14,Israel & Rodolffo
32,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,25,19,Marília Mendonça
33,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,26,19,Zé Neto & Cristiano
34,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,35,19,Gusttavo Lima
35,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,35,36,5,Jão
36,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,18,28,16,Marília Mendonça
37,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,30,19,Zé Felipe
38,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,38,46,2,Luísa Sonza
39,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,31,39,14,Mc Davi
40,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,10,41,19,Felipe Amorim
41,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,34,38,8,Melody
42,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,42,45,3,Lucas Lucco
43,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,40,19,Avine Vinny
44,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,19,34,11,Anitta
45,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,45,63,2,George Henrique & Rodrigo
46,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,19,44,18,Marina Sena
47,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,28,43,19,Clayton & Romário
48,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,43,50,8,Matuê
49,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,8,42,17,MC Levin
50,spotify:track:6wrkP23fHC8KDHCfs8MpJ9,Chá De Casa Nova - Ao Vivo,49,60,11,Henrique & Juliano
51,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,47,19,Gusttavo Lima
52,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,52,64,5,MC Josh
53,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,38,49,8,Luísa Sonza
54,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,44,51,11,Mc Poze do Rodo
55,spotify:track:0vlAXslkVt1HZ4Rx6JekLY,Terminei Mal Terminado - Ao Vivo,55,—,1,Henrique & Juliano
