rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,1,3,Zé Felipe
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,2,16,Matheus Fernandes
3,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,3,14,Gusttavo Lima
4,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,3,5,12,Luan Santana
5,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,5,7,9,Jorge & Mateus
6,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,4,14,Felipe Amorim
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,8,25,Hugo & Guilherme
8,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,8,34,2,MC Tairon
9,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,6,6,8,João Gomes
10,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,10,23,3,L7NNON
11,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,9,10,12,Hugo & Guilherme
12,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,9,11,MC Rogerinho
13,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),9,11,5,Gusttavo Lima
14,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,11,14,7,Henrique & Juliano
15,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,12,12,7,Mc Don Juan
16,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,16,16,10,Mari Fernandez
17,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,4,15,30,Jorge & Mateus
18,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,18,22,13,Leo Santana
19,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,13,16,Davi Kneip
20,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,16,17,21,Guilherme & Benuto
21,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,25,16,Matheus & Kauan
22,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,5,19,22,Luan Santana
23,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,23,53,3,Ana Castela
24,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,18,18,12,MC Braz
25,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,25,51,2,Guilherme & Benuto
26,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,26,29,6,Israel & Rodolffo
27,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,27,27,15,João Bosco e Gabriel
28,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,20,8,Jovem Dionisio
29,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,29,35,13,Paulo e Nathan
30,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,8,30,23,Zé Neto & Cristiano
31,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,17,28,31,Wesley Safadão
32,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,24,38,Henrique & Juliano
33,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,26,21,PEDRO SAMPAIO
34,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,31,37,George Henrique & Rodrigo
35,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,21,21,4,Baco Exu do Blues
36,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,10,33,14,Matuê
37,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,13,32,37,Henrique & Juliano
38,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,37,23,Zé Felipe
39,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,39,41,6,Murilo Huff
40,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,40,32,Gusttavo Lima
41,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,35,39,8,O Tubarão
42,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,30,38,10,Mc Pepeu
43,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,36,29,Xamã
44,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,44,38,Marília Mendonça
45,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),45,54,6,Kate Bush
46,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,42,38,Henrique & Juliano
47,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,50,14,Harry Styles
48,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,48,34,Mari Fernandez
49,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,49,55,6,Wesley Safadão
50,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,17,43,14,Teto
51,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,34,47,15,Mc Gabzin
52,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,6,49,21,MC Rogerinho
