rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,10,DENNIS
2,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,3,4,Ana Castela
3,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,2,2,6,Mc Livinho
4,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,4,9,8,Kadu Martins
5,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",4,4,7,Mc Pedrinho
6,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,6,22,Israel & Rodolffo
7,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,7,27,Simone Mendes
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,8,26,AgroPlay
9,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,5,24,Zé Neto & Cristiano
10,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,10,12,6,Zé Neto & Cristiano
11,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,10,10,3,Gusttavo Lima
12,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,12,16,5,Luan Pereira
13,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),13,81,2,MC Kevin o Chris
14,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,14,15,3,Vulgo FK
15,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,9,14,11,Veigh
16,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,11,26,Henrique & Juliano
17,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,12,21,21,Grupo Menos É Mais
18,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,12,19,12,Guilherme & Benuto
19,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,13,25,Guilherme & Benuto
20,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,20,8,Luan Santana
21,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",9,17,6,Dyamante DJ
22,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,22,26,Matheus & Kauan
23,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,21,23,8,Hugo & Guilherme
24,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,8,18,20,Zé Neto & Cristiano
25,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,24,18,Hugo & Guilherme
26,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",25,25,6,Melody
27,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,26,34,Marília Mendonça
28,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,10,32,21,Clayton & Romário
29,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,28,28,7,Leo Santana
