rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,4,DENNIS
2,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,2,14,Israel & Rodolffo
3,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,4,14,AgroPlay
4,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,3,14,Zé Neto & Cristiano
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,5,14,Simone Mendes
6,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,6,14,Henrique & Juliano
7,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,7,14,Guilherme & Benuto
8,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,8,11,14,Zé Neto & Cristiano
9,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,8,14,Matheus & Kauan
10,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,9,9,5,Veigh
11,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,10,12,Hugo & Guilherme
12,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,2,15,14,Marília Mendonça
13,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,13,17,14,Grupo Menos É Mais
14,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,11,12,13,Henrique & Juliano
15,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,10,13,14,Clayton & Romário
16,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,5,14,14,Israel & Rodolffo
17,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,5,16,6,MC Caverinha
18,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,15,18,6,Guilherme & Benuto
19,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,17,19,14,Gustavo Mioto
20,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,12,24,12,KayBlack
21,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,21,25,5,MC Guh SR
22,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,22,47,2,Luan Santana
23,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,17,21,13,Luan Pereira
24,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,24,40,2,Hugo & Guilherme
25,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,20,22,8,MC Kevin o Chris
26,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,15,26,14,Gustavo Mioto
27,spotify:track:5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,17,23,9,Henrique & Juliano
28,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,14,20,10,Gusttavo Lima
29,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,27,14,Gusttavo Lima
30,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,17,28,14,NATTAN
31,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),10,29,8,Matuê
32,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,30,30,5,Veigh
33,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,29,34,12,KayBlack
34,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,20,31,14,Maiara & Maraisa
35,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,22,35,14,MC Rogerinho
36,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,28,38,14,Naiara Azevedo
37,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,22,36,14,Matheus & Kauan
38,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,11,32,14,Hugo & Guilherme
39,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,20,37,14,WIU
40,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,27,39,14,Ana Castela
41,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,39,43,12,KayBlack
42,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,36,42,7,Lauana Prado
43,spotify:track:4KUj5wxJuY9Nf7L6guRxrU,Abre A Mente - Ao Vivo Em Brasília,43,45,2,Henrique & Juliano
44,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,44,46,11,Belle Kaffer
45,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,14,44,14,MC Kevin o Chris
46,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,46,52,3,Eric Land
47,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,25,48,12,Wesley Safadão
48,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,6,53,14,MC Xenon
49,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,49,56,5,Felipe Amorim
50,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),20,51,10,MC PH
51,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,41,41,5,Israel & Rodolffo
52,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,24,54,14,Matheus Fernandes
53,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,53,74,2,Kadu Martins
