rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,9,AgroPlay
2,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,4,7,Zé Neto & Cristiano
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,3,12,Marília Mendonça
4,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,2,2,3,Zé Felipe
5,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,5,9,Henrique & Juliano
6,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,6,12,Israel & Rodolffo
7,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,7,9,Matheus & Kauan
8,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,10,8,Guilherme & Benuto
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,9,12,10,Simone Mendes
10,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,10,13,4,Clayton & Romário
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,8,9,5,Israel & Rodolffo
12,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,6,8,8,MC Xenon
13,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,8,14,10,Gusttavo Lima
14,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,11,11,5,Hugo & Guilherme
15,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,15,12,Gustavo Mioto
16,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,16,32,2,Henrique & Juliano
17,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,14,16,4,MC Kevin o Chris
18,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,13,18,11,NATTAN
19,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,20,11,Gustavo Mioto
20,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,24,12,Maiara & Maraisa
21,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,6,21,12,Israel & Rodolffo
23,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,17,10,Leo Santana
24,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,7,23,12,WIU
25,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,26,12,Matheus & Kauan
26,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,26,—,1,Hugo & Guilherme
27,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,22,22,6,MC Rogerinho
28,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,12,29,12,Ana Castela
29,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,18,25,12,Matheus Fernandes
30,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,14,27,12,Jorge & Mateus
31,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,31,59,2,Luan Pereira
32,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,13,28,12,Felipe e Rodrigo
33,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,35,12,Guilherme & Benuto
34,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,20,37,12,Naiara Azevedo
35,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,11,33,12,Guilherme & Benuto
36,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,9,41,12,Guilherme & Benuto
37,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,13,31,12,Mc Tato
38,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,26,34,11,Luan Santana
39,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,38,12,Zé Felipe
40,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,40,—,1,Wesley Safadão
41,spotify:track:2orGm2E68ODFYOURjaES62,Felina,21,40,12,WIU
42,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,30,30,4,Mc IG
43,spotify:track:72vwG7lcOTPgT2YgYpg505,Hackearam-me,43,46,3,Marília Mendonça
44,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,44,—,1,KayBlack
45,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,38,44,10,Mc Paiva ZS
46,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),11,43,12,Kadu Martins
47,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,5,36,12,DJ Jeeh FDC
48,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,25,45,12,Mc Jacaré
49,spotify:track:2slHCHYP7ogpGSsCumJT1a,Fulano - Ao Vivo,49,—,1,Murilo Huff
50,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,50,53,4,Grupo Menos É Mais
51,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,15,51,12,Diego & Victor Hugo
52,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,42,9,Zé Felipe
53,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,4,47,12,MC MENOR HR
54,spotify:track:6B5Nqt8DAciT2oqevzGbUc,Pilantra,39,39,3,Jão
55,spotify:track:4ChIBnH5lO5thSaNeMV0oE,BEBÊ TÁ SOLTA,50,50,5,Yuri Redicopa
56,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,35,65,12,Bruno & Denner
57,spotify:track:5sKKcIc3fitcF3S9XtxOK1,Trégua - Ao Vivo,42,48,4,Matheus & Kauan
58,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,22,58,12,Hugo & Guilherme
59,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,43,52,6,KayBlack
60,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,39,55,9,Guilherme & Santiago
61,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,16,54,12,Miley Cyrus
62,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,43,57,8,Mari Fernandez
63,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,60,61,5,Veigh
64,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,24,56,12,Orochi
65,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,40,60,12,Henrique & Juliano
66,spotify:track:6obqb3vA4kufqEHibtF5W1,Guarda Roupa - Ao Vivo,52,67,10,Fred & Fabrício
67,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,28,64,12,Mc Paiva ZS
68,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,33,70,12,Jorge & Mateus
69,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,26,62,12,MC Ryan SP
70,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,16,63,12,Anitta
71,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,71,72,3,Zé Neto & Cristiano
72,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,72,—,1,Filipe Ret
73,spotify:track:6BsKZXjKIrGWMK1uLWfJYN,Sal e Pimenta,73,—,1,KayBlack
74,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,49,71,12,DJ Cayoo
75,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,10,74,12,MC K.K
76,spotify:track:0AXfTPzrAMfHchWf2aOVfA,Whisky Vagabund0 - Ao Vivo,64,69,3,Lauana Prado
77,spotify:track:1cmH3nQCYgR8lmq1ZFAXcI,Alô Inveja - Ao Vivo Em Brasília,47,73,9,Henrique & Juliano
