rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,16,4,Marília Mendonça
2,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,4,Avine Vinny
3,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,3,45,4,Marília Mendonça
4,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,2,2,4,Henrique & Juliano
5,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,5,14,3,Paulo Pires
6,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,6,9,4,PEDRO SAMPAIO
7,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,4,4,Zé Felipe
8,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,3,3,4,Gusttavo Lima
9,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",6,7,4,DJ Patrick Muniz
10,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,5,4,Zé Neto & Cristiano
11,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,11,49,2,MC Levin
12,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,7,8,4,Mc Anjim
13,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,10,10,4,Felipe Amorim
14,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,6,6,4,Henrique & Juliano
15,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,15,—,1,Marília Mendonça
16,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,8,12,4,João Gomes
17,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,11,17,4,DG e Batidão Stronda
18,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,18,—,1,Marília Mendonça
19,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,19,34,3,Marina Sena
20,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,20,—,1,Marília Mendonça
21,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,11,4,Zé Neto & Cristiano
