rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,1,4,3,Tropa do Bruxo
2,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,2,9,Gusttavo Lima
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,1,1,18,Zé Neto & Cristiano
4,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,3,7,Dj GBR
5,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,5,8,5,Manu
6,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,6,17,Ana Castela
7,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,5,19,Zé Neto & Cristiano
8,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,8,11,7,Henrique & Juliano
9,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,13,16,Gusttavo Lima
10,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,9,15,MC Kevin o Chris
11,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,10,10,Luan Pereira
12,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,2,7,14,Felipe Amorim
13,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,7,12,34,Grupo Menos É Mais
14,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,14,16,7,Simone Mendes
15,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,11,15,7,MC Maneirinho
16,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,16,23,14,Henrique & Juliano
17,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,11,19,25,Guilherme & Benuto
18,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,12,14,5,Flora Matos
19,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,14,17,10,MC Rogerinho
20,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,18,35,Israel & Rodolffo
21,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,6,22,38,Guilherme & Benuto
22,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,21,39,AgroPlay
23,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,20,39,Henrique & Juliano
24,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,24,50,2,GREGO
25,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,26,23,DENNIS
