rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,14,Guilherme & Benuto
2,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,2,8,Hugo & Guilherme
3,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,4,9,Jorge & Mateus
4,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,3,10,Mc Paiva ZS
5,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,5,12,6,Guilherme & Benuto
6,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,5,12,Gusttavo Lima
7,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,7,22,4,Diego & Victor Hugo
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,7,37,Hugo & Guilherme
9,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,4,9,21,Jorge & Mateus
10,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,2,6,7,Luan Santana
11,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,2,8,10,Marília Mendonça
12,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,11,11,8,Matheus & Kauan
13,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,3,10,15,Ana Castela
14,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,13,28,Matheus & Kauan
15,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,3,14,15,L7NNON
16,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,16,23,18,Israel & Rodolffo
17,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,15,11,Mc Jacaré
18,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,13,17,22,Mari Fernandez
19,spotify:track:7dG9DMiqxz365ItjlsRGMQ,Acabei de Terminar - Ao Vivo,13,16,25,Paulo e Nathan
20,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,19,26,Gusttavo Lima
21,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,9,18,24,Hugo & Guilherme
22,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,13,20,8,DJ AK BR
23,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,19,21,8,Murilo Huff
24,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,24,100,2,Pineapple StormTv
25,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,24,28,Matheus Fernandes
26,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,26,64,2,Gustavo Mioto
27,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,3,25,24,Luan Santana
28,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,25,27,18,Murilo Huff
29,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,8,28,14,MC Tairon
30,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,2,26,26,Felipe Amorim
31,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,29,30,8,Felipe Amorim
32,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,4,29,42,Jorge & Mateus
33,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,32,33,12,Clayton & Romário
34,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,11,35,19,Henrique & Juliano
35,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,24,32,11,MC Kevin o Chris
36,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,13,38,49,Henrique & Juliano
37,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,31,15,Zé Felipe
38,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,6,37,20,João Gomes
39,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,39,70,3,Mc Kitinho
40,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),40,—,1,Sam Smith
41,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,6,34,11,Nivaldo Marques
42,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,39,23,MC Rogerinho
43,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,45,26,Harry Styles
44,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,40,50,Henrique & Juliano
45,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,16,41,33,Guilherme & Benuto
46,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,36,49,George Henrique & Rodrigo
47,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,12,44,19,Mc Don Juan
48,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,42,42,9,Mc Paiva ZS
49,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,49,49,8,Diego & Victor Hugo
50,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,18,46,24,MC Braz
51,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,5,43,34,Luan Santana
52,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,8,48,35,Zé Neto & Cristiano
53,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,17,47,43,Wesley Safadão
54,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,27,54,27,João Bosco e Gabriel
55,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,50,28,Davi Kneip
