rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,6,Davi Kneip
2,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,2,3,15,Hugo & Guilherme
3,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,2,11,PEDRO SAMPAIO
4,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,7,4,Gusttavo Lima
5,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,4,12,Luan Santana
6,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,14,4,Felipe Amorim
7,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,12,3,L7NNON
8,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,6,4,Matuê
9,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,5,20,Jorge & Mateus
10,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,10,23,2,Luan Santana
11,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,11,11,13,Zé Neto & Cristiano
12,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,8,13,Zé Felipe
13,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,10,27,George Henrique & Rodrigo
14,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,9,19,Xamã
15,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,15,21,4,Matheus Fernandes
16,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,16,8,Anitta
17,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,19,4,Teto
18,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,7,18,28,Henrique & Juliano
19,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,15,28,Henrique & Juliano
20,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,13,22,Gusttavo Lima
21,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,17,28,Marília Mendonça
22,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,9,27,11,MC Rogerinho
23,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,20,27,Henrique & Juliano
24,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,22,15,Chefin
25,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,25,34,5,Mc Gabzin
26,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,26,29,11,Guilherme & Benuto
27,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,27,31,4,Harry Styles
28,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,24,11,Gloria Groove
29,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,26,26,6,Matheus & Kauan
30,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,28,21,Wesley Safadão
31,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",14,25,9,Vulgo FK
32,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,32,50,2,Hugo & Guilherme
33,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,30,25,Marília Mendonça
34,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,34,35,11,George Henrique & Rodrigo
35,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,33,21,DJ Matt D
36,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,32,17,Matheus & Kauan
37,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,14,36,28,Tayrone
38,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,38,39,5,Hugo & Guilherme
39,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,38,24,Zé Felipe
40,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,11,37,23,Mari Fernandez
41,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,21,43,11,Luísa Sonza
42,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),15,40,14,MC Teteu
43,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,10,41,14,Dj Guuga
44,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,23,42,25,Marília Mendonça
45,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,16,45,28,Mc Davi
46,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,44,28,PEDRO SAMPAIO
47,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,9,47,26,Paulo Pires
48,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,44,51,20,Mc Poze do Rodo
49,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,37,52,9,Pineapple StormTv
