rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,5,MC Kevin o Chris
2,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,2,7,Ana Castela
3,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,3,13,DENNIS
4,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,4,9,Mc Livinho
5,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,5,28,AgroPlay
6,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,6,6,8,Luan Pereira
7,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,13,3,Felipe Amorim
8,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,7,8,6,Vulgo FK
9,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,7,25,Israel & Rodolffo
10,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,10,29,Simone Mendes
11,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,11,11,24,Grupo Menos É Mais
12,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,9,10,Mc Pedrinho
13,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,12,27,Zé Neto & Cristiano
14,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,15,11,Luan Santana
15,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,15,17,9,Zé Neto & Cristiano
16,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,6,14,14,Veigh
17,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,16,28,Guilherme & Benuto
18,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,17,18,6,Gusttavo Lima
19,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,20,29,Henrique & Juliano
20,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,16,21,15,Guilherme & Benuto
21,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,15,19,9,Kadu Martins
22,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,22,28,3,Felipe Amorim
23,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,6,22,29,Matheus & Kauan
24,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,15,26,16,Zé Neto & Cristiano
25,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",10,23,9,Dyamante DJ
26,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,24,42,Israel & Rodolffo
27,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",27,29,9,Melody
