rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,3,8,Mc Paiva ZS
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,2,10,Guilherme & Benuto
3,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,13,Ana Castela
4,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,4,3,Luan Santana
5,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,5,7,8,Gusttavo Lima
6,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,6,11,L7NNON
7,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,5,6,Mc Jacaré
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,12,33,Hugo & Guilherme
9,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,5,8,17,Jorge & Mateus
10,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,4,10,6,Marília Mendonça
11,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,9,9,5,DJ AK BR
12,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,11,11,24,Matheus & Kauan
13,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,13,10,MC Tairon
14,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,14,24,4,Hugo & Guilherme
15,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,14,22,Gusttavo Lima
16,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,15,20,Luan Santana
17,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,17,20,18,Paulo e Nathan
18,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,16,22,Matheus Fernandes
19,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,17,19,7,MC Kevin o Chris
20,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,19,21,14,Israel & Rodolffo
21,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,12,22,20,Hugo & Guilherme
22,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,22,36,4,Murilo Huff
23,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,18,11,Zé Felipe
24,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,17,7,Luísa Sonza
25,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,23,15,Mc Don Juan
26,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,25,38,Jorge & Mateus
27,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,26,45,George Henrique & Rodrigo
28,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,27,31,14,Mari Fernandez
29,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,29,33,5,Jorge & Mateus
30,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,11,27,20,MC Braz
31,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,28,28,14,Mc Paiva ZS
32,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,4,29,30,Luan Santana
33,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,30,24,Davi Kneip
34,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,34,34,7,Clayton & Romário
35,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,38,18,MC Rogerinho
36,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,26,44,22,Harry Styles
