rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,1,8,Marília Mendonça
2,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,2,3,7,George Henrique & Rodrigo
3,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,1,2,8,Henrique & Juliano
4,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,5,5,Marília Mendonça
5,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,4,8,Marília Mendonça
6,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,5,6,8,PEDRO SAMPAIO
7,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,7,10,8,Henrique & Juliano
8,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,6,8,6,MC Levin
9,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,7,8,Avine Vinny
10,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,9,8,Zé Neto & Cristiano
11,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,11,12,4,Zé Felipe
12,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,9,11,6,Paulo Pires
13,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,4,13,8,Gusttavo Lima
14,spotify:track:7MLCxrDoxcTRg1u3QAGE5a,Bloqueado - Ao Vivo,14,29,2,Gusttavo Lima
15,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,17,8,Zé Neto & Cristiano
16,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,15,8,Zé Felipe
17,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,5,16,8,Mc Anjim
