rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,10,MC MENOR HR
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,2,2,9,Israel & Rodolffo
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,16,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,4,28,Guilherme & Benuto
5,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,7,7,Zé Felipe
6,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,6,19,3,MC K.K
7,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,5,12,Matheus & Kauan
8,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,6,20,Guilherme & Benuto
9,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,7,8,10,Felipe e Rodrigo
10,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,9,26,Mc Paiva ZS
11,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,10,18,Diego & Victor Hugo
12,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,12,34,3,Marília Mendonça
13,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,4,11,23,Jorge & Mateus
14,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,12,12,9,Guilherme & Benuto
15,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,13,16,7,DJ Dozabri
16,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,13,13,5,Israel & Rodolffo
17,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,12,15,9,Orochi
18,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,10,18,13,Dj LK da Escócia
19,spotify:track:2orGm2E68ODFYOURjaES62,Felina,6,14,15,WIU
20,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,17,51,Hugo & Guilherme
21,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),21,22,7,Kadu Martins
22,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,6,20,13,Gusttavo Lima
23,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,23,26,4,MC Ryan SP
24,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,21,21,3,Maiara & Maraisa
