rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,1,5,3,JC NO BEAT
2,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,2,17,Dj GBR
3,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,1,1,5,Lauana Prado
4,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,3,27,Zé Neto & Cristiano
5,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,4,4,5,Luan Santana
6,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,6,8,8,Ana Castela
7,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,2,6,19,Gusttavo Lima
8,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,8,22,5,MC PH
9,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,5,9,16,Simone Mendes
10,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,2,13,13,Tropa do Bruxo
11,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,4,7,35,Guilherme & Benuto
12,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,12,17,5,PEDRO SAMPAIO
13,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,6,10,13,Manu
14,spotify:track:3jTyFoGeD3DTu9cnnctMWN,DENTRO DA HILUX,2,12,20,Luan Pereira
15,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,11,44,Grupo Menos É Mais
16,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),12,16,20,Ana Castela
17,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,4,14,49,Simone Mendes
18,spotify:track:6zFpImDYig0CQhLL2NIfyN,Nosso Quadro,1,15,48,AgroPlay
19,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,18,27,Ana Castela
20,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,20,25,MC Kevin o Chris
21,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,8,21,29,Zé Neto & Cristiano
22,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,16,23,21,Henrique & Juliano
23,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,23,34,6,Chefin
24,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,11,28,31,Luan Santana
25,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),19,41,8,Isadora Pompeo
26,spotify:track:6C4nUySvjSQWoZamSKJBqH,Mala dos Porta-Mala - Ao Vivo,6,24,26,Gusttavo Lima
27,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,17,26,13,Israel & Rodolffo
28,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,16,19,15,Traia Véia
29,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,25,56,Marília Mendonça
30,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,11,31,11,GREGO
31,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,31,37,8,Murilo Huff
32,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,30,48,Guilherme & Benuto
33,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,29,33,DENNIS
34,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,17,35,17,Henrique & Juliano
35,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,32,47,Zé Neto & Cristiano
36,spotify:track:3dA58LbGkY9CIEPyT7yAEZ,Torce o Olho - Ao Vivo,36,50,8,Gusttavo Lima
37,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,37,39,7,Leo Santana
38,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,9,40,17,MC Maneirinho
39,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,6,38,49,Matheus & Kauan
40,spotify:track:6qYTjIEgne0leltNnvpSIM,CHEIRO NA CAMISETA,22,33,8,Luan Pereira
41,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,41,42,11,Sorriso Maroto
42,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,42,45,5,Matheus & Kauan
