rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,9,Ana Castela
2,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,2,7,L7NNON
3,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,4,6,MC Tairon
4,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,4,9,2,Marília Mendonça
5,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,6,3,Luísa Sonza
6,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,3,7,Zé Felipe
7,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,5,7,13,Jorge & Mateus
8,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,5,5,4,Gusttavo Lima
9,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,9,11,6,Guilherme & Benuto
10,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,10,29,Hugo & Guilherme
11,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,8,16,Luan Santana
12,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,12,38,2,Mc Jacaré
13,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,13,18,Gusttavo Lima
14,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,12,18,Matheus Fernandes
15,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,14,11,Mc Don Juan
16,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,16,16,20,Matheus & Kauan
17,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,17,23,3,MC Kevin o Chris
18,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,15,20,Davi Kneip
19,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,12,18,16,Hugo & Guilherme
20,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,11,21,16,MC Braz
21,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,17,12,João Gomes
22,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,20,14,MC Rogerinho
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,23,25,10,Israel & Rodolffo
24,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,24,26,Luan Santana
25,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,22,41,George Henrique & Rodrigo
26,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,26,50,4,Mc Paiva ZS
27,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,27,27,10,Mari Fernandez
28,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,26,34,Jorge & Mateus
