rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,1,3,MC Tairon
2,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,5,4,L7NNON
3,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,2,4,Zé Felipe
4,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,4,11,6,Ana Castela
5,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,3,13,Luan Santana
6,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,4,15,Gusttavo Lima
7,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,6,9,10,Jorge & Mateus
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,7,26,Hugo & Guilherme
9,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,6,8,Mc Don Juan
10,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,8,15,Matheus Fernandes
11,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,10,15,Felipe Amorim
12,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,12,16,13,Hugo & Guilherme
13,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,12,17,Davi Kneip
14,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,13,9,João Gomes
15,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,11,14,13,MC Braz
16,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,15,11,MC Rogerinho
17,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),17,22,6,Gusttavo Lima
18,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,17,23,Luan Santana
19,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,18,31,Jorge & Mateus
20,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,20,25,17,Matheus & Kauan
21,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,19,22,PEDRO SAMPAIO
22,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,22,47,3,Guilherme & Benuto
23,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,17,20,8,Henrique & Juliano
24,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,21,9,Jovem Dionisio
25,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,7,27,39,Henrique & Juliano
26,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,23,22,Guilherme & Benuto
27,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,26,38,George Henrique & Rodrigo
28,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,28,31,7,Israel & Rodolffo
29,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,24,15,Matuê
30,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,30,—,1,Gusttavo Lima
31,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,28,28,16,João Bosco e Gabriel
32,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,22,32,11,Mc Pepeu
33,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),33,33,7,Kate Bush
34,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,34,38,9,Leo Santana
35,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,23,34,16,Mc Gabzin
36,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,36,42,7,Mari Fernandez
37,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,36,32,Wesley Safadão
38,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,26,37,15,Harry Styles
39,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,22,29,5,Baco Exu do Blues
40,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,39,39,Marília Mendonça
41,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,35,30,Xamã
42,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,45,33,Gusttavo Lima
43,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,43,56,2,Luan Santana
44,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,44,24,Zé Felipe
45,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,46,39,Henrique & Juliano
46,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,11,30,24,Zé Neto & Cristiano
47,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,43,15,Teto
48,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,19,40,12,Mc Delux
49,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,41,38,Henrique & Juliano
50,spotify:track:0yDMhYTryvQoR634wDgQ1j,O Fim é Triste (feat. DJ BOY),50,51,2,MC Hariel
51,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,50,52,7,Murilo Huff
52,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,46,50,5,Teto
53,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,44,49,11,Paulo e Nathan
54,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,43,53,9,O Tubarão
55,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,54,22,Gloria Groove
56,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),30,55,11,Anitta
57,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,11,58,34,Mari Fernandez
58,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,14,57,39,Tayrone
59,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,59,36,Marília Mendonça
60,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,23,61,36,Marília Mendonça
61,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,9,60,22,MC Rogerinho
62,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,64,28,Matheus & Kauan
63,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,63,73,3,Wesley Safadão
64,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,64,66,3,BIN
65,spotify:track:2s8kT1fuBVjxept8bH68Sw,SET MK 2,61,63,6,MC Hariel
66,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,65,32,DJ Matt D
67,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,50,67,15,Henrique & Juliano
68,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,16,68,39,Mc Davi
69,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,48,14,L7NNON
70,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,70,75,2,Mc Gabzin
71,spotify:track:3JFB72hbbt3zy30puJTc3q,Medley Lud Session - Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3,69,69,2,LUDMILLA
72,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,52,62,4,Filipe Ret
73,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,33,70,22,George Henrique & Rodrigo
74,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,69,72,7,Mc Paiva ZS
75,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,36,74,39,Henrique & Juliano
76,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,73,79,12,Léo & Raphael
77,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,28,78,38,Clayton & Romário
78,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,76,39,Marília Mendonça
79,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,71,39,Zé Neto & Cristiano
80,spotify:track:7qq40cRIYNKZCDt1STfBqt,"Bruna, Tu Já Parou Pra Pensar",80,—,1,Niack
81,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,38,82,16,Hugo & Guilherme
82,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,82,—,1,Mc Paiva ZS
83,spotify:track:0HIhSuAe5lq7ywxqlAt5Nl,Deixa Ela Em Paz,80,95,3,Bruno & Marrone
84,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,20,85,39,Gusttavo Lima
85,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,83,26,Chefin
86,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,11,86,2,Matheus & Kauan
87,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,54,80,2,Israel & Rodolffo
88,spotify:track:7LdYiTZzlxsPKi8kvNXeBS,Set do G15 - A Revoada Começou,69,84,9,MC G15
89,spotify:track:28k6fDcRo7iONQhMxt2OFA,Clone,74,88,9,Júnior e Cézar
90,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,53,90,2,Elton John
91,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",14,77,20,Vulgo FK
92,spotify:track:130HVxaVe9EYcLJmuOR9Rw,Até A Próxima Vida - Ao Vivo,82,97,3,Henrique & Juliano
93,spotify:track:2VbKpQWIMRelKmEy8rSCAf,Set Tatuapé Conceito 2,93,—,1,Mc Kako
94,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),15,81,25,MC Teteu
95,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,71,92,2,Grupo Menos É Mais
96,spotify:track:3qHN7TSBfVQPF9ojUVT9ZT,Pras Novinha (feat. DJ Pedrin),96,—,1,Mc Livinho
97,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,87,19,Anitta
98,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,58,94,19,JC NO BEAT
99,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,70,89,14,L7NNON
100,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,12,99,6,Marília Mendonça
