rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,34,2,Zé Felipe
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,2,13,Matheus Fernandes
3,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,1,11,Luan Santana
4,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,3,13,Gusttavo Lima
5,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,5,6,Mc Don Juan
6,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,4,24,Hugo & Guilherme
7,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,6,6,8,Jorge & Mateus
8,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,9,13,Felipe Amorim
9,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,8,15,Davi Kneip
10,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,15,7,João Gomes
11,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,11,12,11,MC Braz
12,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,13,9,MC Rogerinho
13,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,7,7,Jovem Dionisio
14,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,10,29,Jorge & Mateus
15,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,11,20,PEDRO SAMPAIO
16,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,14,21,Luan Santana
17,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,14,16,11,Hugo & Guilherme
18,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),18,19,4,Gusttavo Lima
19,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,17,18,6,Henrique & Juliano
20,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,17,20,Guilherme & Benuto
21,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,20,13,Matuê
22,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,22,—,1,MC Tairon
23,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,22,22,3,Baco Exu do Blues
24,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,23,36,George Henrique & Rodrigo
25,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,7,21,37,Henrique & Juliano
26,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,26,54,2,L7NNON
27,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,25,28,Xamã
28,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,22,26,9,Mc Pepeu
29,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,23,27,15,Matheus & Kauan
30,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,11,24,22,Zé Neto & Cristiano
31,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,30,30,14,João Bosco e Gabriel
32,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,29,36,Henrique & Juliano
33,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,23,35,14,Mc Gabzin
34,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,34,39,5,Israel & Rodolffo
35,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,19,32,10,Mc Delux
36,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,33,30,Wesley Safadão
37,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,31,13,Teto
38,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,38,55,4,Ana Castela
39,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,26,40,13,Harry Styles
40,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,37,22,Zé Felipe
41,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,38,12,L7NNON
42,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,36,37,Marília Mendonça
43,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,42,42,5,Mari Fernandez
44,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,28,31,Gusttavo Lima
45,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,41,37,Henrique & Juliano
46,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,46,48,3,Teto
47,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,42,44,7,Leo Santana
48,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),35,43,5,Kate Bush
49,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,43,47,7,O Tubarão
50,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,44,49,9,Paulo e Nathan
51,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,50,52,5,Murilo Huff
52,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,52,69,2,Filipe Ret
53,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),30,45,9,Anitta
54,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,51,20,Gloria Groove
55,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,46,34,Marília Mendonça
56,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,9,50,20,MC Rogerinho
57,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,11,53,32,Mari Fernandez
58,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,57,30,DJ Matt D
59,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,23,58,34,Marília Mendonça
60,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,14,59,37,Tayrone
61,spotify:track:2s8kT1fuBVjxept8bH68Sw,SET MK 2,61,65,4,MC Hariel
62,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,50,62,13,Henrique & Juliano
63,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,63,26,Matheus & Kauan
64,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,47,60,7,Braão
65,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,65,—,1,Guilherme & Benuto
66,spotify:track:3fSxnkjdgPucRCskjmAlgx,A Cara do Crime 3 (Brinde à Liberdade),57,64,5,Mc Poze do Rodo
67,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,16,67,37,Mc Davi
68,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",14,66,18,Vulgo FK
69,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,69,70,5,Mc Paiva ZS
