rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,7,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,11,Marília Mendonça
3,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,3,11,Israel & Rodolffo
4,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,36,2,Zé Felipe
5,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,4,6,Zé Neto & Cristiano
6,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,5,7,MC Xenon
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,6,8,Henrique & Juliano
8,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,9,8,Matheus & Kauan
9,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,7,7,Guilherme & Benuto
10,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,8,11,Gustavo Mioto
11,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,11,11,2,MC Kevin o Chris
12,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,10,14,9,Gusttavo Lima
13,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,12,11,WIU
14,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,14,20,4,Mc IG
16,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,16,17,4,Israel & Rodolffo
17,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,15,15,8,Simone Mendes
18,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,13,8,Leo Santana
19,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,19,38,3,Clayton & Romário
20,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,7,18,11,Mc Tato
21,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,14,16,10,Gustavo Mioto
22,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,8,19,11,Maiara & Maraisa
23,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,22,22,4,Hugo & Guilherme
24,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,14,23,11,Israel & Rodolffo
25,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,11,21,11,Ana Castela
26,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,24,11,Matheus & Kauan
27,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,24,27,10,Mc Paiva ZS
28,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,30,11,Jorge & Mateus
29,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,28,28,7,NATTAN
30,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,13,33,11,Felipe e Rodrigo
31,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,8,32,11,Zé Felipe
32,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,4,26,11,DJ Jeeh FDC
33,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,33,40,3,MC Rogerinho
34,spotify:track:2orGm2E68ODFYOURjaES62,Felina,17,34,11,WIU
35,spotify:track:6B5Nqt8DAciT2oqevzGbUc,Pilantra,35,39,3,Jão
36,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,15,37,11,Guilherme & Benuto
37,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,17,35,11,Naiara Azevedo
38,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,4,25,11,MC MENOR HR
39,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,29,11,Guilherme & Benuto
40,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,36,45,7,KayBlack
41,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,12,31,11,MC Ryan SP
42,spotify:track:4ChIBnH5lO5thSaNeMV0oE,BEBÊ TÁ SOLTA,42,50,4,Yuri Redicopa
43,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,28,41,10,Luan Santana
44,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,11,42,11,Guilherme & Benuto
45,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,21,44,11,Mc Jacaré
46,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,18,46,11,Orochi
47,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,43,8,Zé Felipe
48,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,48,51,8,Veigh
49,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,22,48,11,Mc Paiva ZS
50,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,41,49,7,Matheus Fernandes
51,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,16,47,11,Miley Cyrus
52,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,5,53,11,MC K.K
53,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,21,58,11,Diego & Victor Hugo
54,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),24,54,11,Kadu Martins
55,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,55,97,2,Luan Pereira
56,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,15,52,11,Anitta
57,spotify:track:72vwG7lcOTPgT2YgYpg505,Hackearam-me,57,—,1,Marília Mendonça
58,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,24,56,11,Hugo & Guilherme
59,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,41,57,11,DJ Cayoo
60,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,60,65,3,Grupo Menos É Mais
61,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,61,—,1,Henrique & Juliano
62,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,32,66,11,Jorge & Mateus
63,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),25,60,11,Luísa Sonza
64,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,48,59,8,Guilherme & Santiago
65,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,53,62,6,Mari Fernandez
67,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,67,77,3,Belle Kaffer
68,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,45,67,11,Henrique & Juliano
69,spotify:track:1JQ1ylL2JEjC6Ib7IJgOvS,Coração Amoleceu,50,64,8,Mc Don Juan
70,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,38,63,11,Bruno & Denner
71,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,47,71,11,Harry Styles
72,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,52,74,11,Henrique & Juliano
73,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,26,69,11,Matheus & Kauan
74,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,54,70,11,Mc Paiva ZS
75,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,44,75,11,Vulgo FK
76,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,46,72,9,Sony no Beat
77,spotify:track:1EabI1QbflYnmXuMKtlzbI,Onde Tu Vai Sentar - Ao Vivo,73,76,4,Gustavo Mioto
78,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,34,78,11,DJ Dozabri
79,spotify:track:2jZrMlMuTk1N3LJS8yQM6q,Carinha de Bebê,55,73,6,Ana Castela
80,spotify:track:6kNZdlmjH4BQnSUfHeJIuc,"Let's Go 3 (feat. MC Marks, Mc Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)",80,95,2,Dj GBR
81,spotify:track:6tW23l5oRR8XyYJsF5si9G,Eu Minto (Ao Vivo),52,79,8,US Agroboy
82,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,37,84,11,Ana Castela
83,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,57,82,11,Mc Jacaré
84,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,38,88,11,Israel & Rodolffo
85,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,85,89,5,KayBlack
86,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,66,92,5,MC Cabelinho
87,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,50,85,11,MC Cabelinho
88,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,19,61,8,Teto
89,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,47,81,11,Matheus & Kauan
90,spotify:track:3smtwkthoDwPYDtxS3UrIk,Pagodeiro,75,91,6,Mc Davi
91,spotify:track:2veIj31M3WytrkLQrbjFkx,Quebra Cabeça - Spotify Singles,73,94,5,Mc Paiva ZS
92,spotify:track:5u0iZ81Yf2L90FQLYQUiiG,Famoso Machuca Xota,92,—,1,Mc Larissa
93,spotify:track:5sKKcIc3fitcF3S9XtxOK1,Trégua - Ao Vivo,68,68,3,Matheus & Kauan
94,spotify:track:0yEz4sDC2dYVGAjH8LTnQz,Migo ou Vida?,94,—,1,Mc IG
95,spotify:track:0LGGo9eY1aJX6tqgxa87kd,Freestyle,95,—,1,KayBlack
96,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),46,90,11,Sam Smith
97,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,78,99,2,Henrique & Juliano
98,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,56,86,11,Hugo & Guilherme
99,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),70,93,11,David Guetta
100,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,55,100,11,Paulo e Nathan
