rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,8,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,12,Marília Mendonça
3,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,3,12,Israel & Rodolffo
4,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,5,7,Zé Neto & Cristiano
5,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,7,9,Henrique & Juliano
6,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,4,3,Zé Felipe
7,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,6,8,MC Xenon
8,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,9,8,Guilherme & Benuto
9,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,8,8,9,Matheus & Kauan
10,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,10,12,Gustavo Mioto
11,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,10,12,10,Gusttavo Lima
12,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,12,17,9,Simone Mendes
13,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,11,11,3,MC Kevin o Chris
14,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,13,12,WIU
15,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,15,19,4,Clayton & Romário
16,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,16,16,5,Israel & Rodolffo
17,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,11,25,12,Ana Castela
18,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,18,23,5,Hugo & Guilherme
19,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,8,22,12,Maiara & Maraisa
21,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,26,12,Matheus & Kauan
22,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,22,55,3,Luan Pereira
23,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,14,21,11,Gustavo Mioto
24,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,14,24,12,Israel & Rodolffo
25,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,18,9,Leo Santana
26,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,7,20,12,Mc Tato
27,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,14,14,5,Mc IG
28,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,28,12,Jorge & Mateus
29,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,13,30,12,Felipe e Rodrigo
30,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,17,37,12,Naiara Azevedo
31,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,24,27,11,Mc Paiva ZS
32,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,8,31,12,Zé Felipe
33,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,28,29,8,NATTAN
34,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,33,33,4,MC Rogerinho
35,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,15,36,12,Guilherme & Benuto
36,spotify:track:2orGm2E68ODFYOURjaES62,Felina,17,34,12,WIU
37,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,37,61,2,Henrique & Juliano
38,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,39,12,Guilherme & Benuto
39,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,11,44,12,Guilherme & Benuto
40,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,4,32,12,DJ Jeeh FDC
41,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,28,43,11,Luan Santana
42,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,36,40,8,KayBlack
43,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,4,38,12,MC MENOR HR
44,spotify:track:4ChIBnH5lO5thSaNeMV0oE,BEBÊ TÁ SOLTA,42,42,5,Yuri Redicopa
45,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,12,41,12,MC Ryan SP
46,spotify:track:6B5Nqt8DAciT2oqevzGbUc,Pilantra,35,35,4,Jão
47,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,47,48,9,Veigh
48,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,21,45,12,Mc Jacaré
49,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,18,46,12,Orochi
50,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,50,—,1,KayBlack
51,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,22,49,12,Mc Paiva ZS
52,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,16,51,12,Miley Cyrus
53,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,53,—,1,Hugo & Guilherme
54,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,41,50,8,Matheus Fernandes
55,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,47,9,Zé Felipe
56,spotify:track:72vwG7lcOTPgT2YgYpg505,Hackearam-me,56,57,2,Marília Mendonça
57,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,24,58,12,Hugo & Guilherme
58,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,21,53,12,Diego & Victor Hugo
59,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,5,52,12,MC K.K
60,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,60,60,4,Grupo Menos É Mais
61,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,38,70,12,Bruno & Denner
62,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,41,59,12,DJ Cayoo
63,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),24,54,12,Kadu Martins
64,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,32,62,12,Jorge & Mateus
65,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,15,56,12,Anitta
66,spotify:track:4tuFNhM69UakXdPg4RrNvp,Deus Perdoa,66,—,1,Filipe Ret
67,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,67,67,4,Belle Kaffer
68,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,48,64,9,Guilherme & Santiago
69,spotify:track:6kNZdlmjH4BQnSUfHeJIuc,"Let's Go 3 (feat. MC Marks, Mc Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)",69,80,3,Dj GBR
70,spotify:track:6BsKZXjKIrGWMK1uLWfJYN,Sal e Pimenta,70,—,1,KayBlack
71,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,44,75,12,Vulgo FK
