rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,1,7,Gusttavo Lima
2,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,2,5,Luan Santana
3,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,4,9,Davi Kneip
4,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,3,18,Hugo & Guilherme
5,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,5,7,Felipe Amorim
6,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,6,14,PEDRO SAMPAIO
7,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,7,7,Matuê
8,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,8,10,7,Matheus Fernandes
9,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,8,23,Jorge & Mateus
10,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,9,15,Luan Santana
11,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,11,11,16,Zé Neto & Cristiano
12,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,12,30,George Henrique & Rodrigo
13,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),7,13,6,L7NNON
14,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,16,22,Xamã
15,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,13,15,7,Teto
16,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,7,18,31,Henrique & Juliano
17,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,17,32,3,MC Rogerinho
18,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,14,25,Gusttavo Lima
19,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,19,19,4,Mc Delux
20,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,17,31,Henrique & Juliano
21,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,21,27,5,MC Braz
22,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,22,31,3,Mc Pepeu
23,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,23,23,8,Mc Gabzin
24,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,24,25,14,Guilherme & Benuto
25,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,25,43,2,Jorge & Mateus
26,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,26,28,9,Matheus & Kauan
27,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,22,31,Marília Mendonça
28,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,20,30,Henrique & Juliano
29,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,21,16,Zé Felipe
30,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),30,34,3,Anitta
31,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,26,26,5,Hugo & Guilherme
32,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,30,24,Wesley Safadão
33,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,26,29,7,Harry Styles
34,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,24,11,Anitta
35,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,36,18,Chefin
36,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,35,35,8,João Bosco e Gabriel
37,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,37,28,Marília Mendonça
38,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,38,14,Gloria Groove
39,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,33,33,14,George Henrique & Rodrigo
40,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,9,41,14,MC Rogerinho
41,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",14,42,12,Vulgo FK
42,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,39,20,Matheus & Kauan
43,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,40,24,DJ Matt D
44,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,44,—,1,João Gomes
45,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,11,49,26,Mari Fernandez
46,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,44,47,23,Mc Poze do Rodo
47,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,23,44,28,Marília Mendonça
48,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,37,50,12,Pineapple StormTv
49,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,10,51,17,Dj Guuga
50,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,50,53,7,Henrique & Juliano
51,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,16,54,31,Mc Davi
52,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,14,45,31,Tayrone
53,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,21,46,14,Luísa Sonza
54,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,54,60,7,Israel & Rodolffo
55,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,55,—,1,Braão
56,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,38,48,8,Hugo & Guilherme
57,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,26,65,17,Mc Don Juan
58,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,58,—,1,Jovem Dionisio
59,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),15,61,17,MC Teteu
60,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,55,31,Zé Neto & Cristiano
61,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,56,31,Marília Mendonça
62,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,4,57,31,Gusttavo Lima
63,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,52,27,Zé Felipe
64,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,28,59,30,Clayton & Romário
65,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,41,63,20,Matuê
66,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,64,31,Zé Neto & Cristiano
67,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,20,58,31,Gusttavo Lima
68,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,29,66,18,Jão
69,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,58,79,11,JC NO BEAT
70,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,70,75,6,L7NNON
71,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,62,62,3,Paulo e Nathan
72,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,19,67,15,LUDMILLA
73,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,68,31,PEDRO SAMPAIO
74,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,36,69,31,Henrique & Juliano
75,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,12,74,31,Matuê
