rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,7,Gustavo Mioto
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,3,19,Guilherme & Benuto
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,2,17,Mc Paiva ZS
4,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,4,11,Guilherme & Benuto
5,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,5,9,Diego & Victor Hugo
6,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,6,8,4,Gusttavo Lima
7,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,4,6,14,Jorge & Mateus
8,spotify:track:2orGm2E68ODFYOURjaES62,Felina,7,7,6,WIU
9,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,9,42,Hugo & Guilherme
10,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,10,13,4,Dj LK da Escócia
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,5,12,26,Jorge & Mateus
12,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,10,20,L7NNON
13,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,11,22,Ana Castela
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,5,15,17,Gusttavo Lima
15,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,15,30,3,Matheus & Kauan
16,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,14,14,13,Matheus & Kauan
17,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,17,31,Matheus Fernandes
18,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,8,16,13,Hugo & Guilherme
19,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,21,12,Luan Santana
20,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,20,25,23,Mari Fernandez
21,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,17,24,23,Israel & Rodolffo
22,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),17,18,6,Sam Smith
23,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,19,23,13,Murilo Huff
24,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,7,20,14,DJ AK BR
25,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,22,22,23,Mc Paiva ZS
26,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,14,19,7,Pineapple StormTv
27,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,11,28,33,Matheus & Kauan
28,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,4,29,15,Marília Mendonça
29,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,26,19,MC Tairon
30,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,27,15,Mc Jacaré
31,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,12,31,29,Hugo & Guilherme
32,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,32,32,7,MC Marks
33,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,28,33,8,Mc Kitinho
34,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,36,31,Gusttavo Lima
35,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,37,29,Luan Santana
36,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,17,39,16,MC Kevin o Chris
37,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,37,41,4,Kevi Jonny
38,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,38,24,Mc Don Juan
39,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,42,31,Felipe Amorim
40,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,17,34,27,Paulo e Nathan
41,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,17,40,24,Henrique & Juliano
42,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,42,46,12,Diego & Victor Hugo
43,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,34,45,23,Murilo Huff
44,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,43,55,Henrique & Juliano
45,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,26,47,31,Harry Styles
46,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,52,25,João Gomes
47,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,44,54,Henrique & Juliano
48,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,48,38,Guilherme & Benuto
49,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,48,65,12,Felipe Amorim
50,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,56,20,Zé Felipe
51,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,54,54,George Henrique & Rodrigo
52,spotify:track:0yDMhYTryvQoR634wDgQ1j,O Fim é Triste (feat. DJ BOY),44,49,18,MC Hariel
53,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,35,35,2,Taylor Swift
54,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,54,61,14,MC Cabelinho
55,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,11,50,29,MC Braz
56,spotify:track:5fstoJBdyj9Yvhe4W5hmEP,Set Wesley Alemão,43,53,9,Dj GM
57,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,34,51,16,Clayton & Romário
58,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,58,—,1,MC MENOR HR
59,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,60,31,Matuê
60,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,57,57,6,Guilherme & Benuto
61,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,59,47,Jorge & Mateus
62,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,62,27,MC Rogerinho
63,spotify:track:7woVi4HBuv0rsO98Ox2Fcq,Doce Veneno,58,58,3,Mc Paiva ZS
64,spotify:track:4eoqnVPLzROP9tDxcFQAAK,Alimentando Vontade,63,63,2,Zé Neto & Cristiano
65,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),55,55,7,David Guetta
66,spotify:track:35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,66,—,1,Rihanna
67,spotify:track:0K3u2t8YNuJ5NR9lKC1frv,AMEIANOITE,67,96,2,Pabllo Vittar
68,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,7,66,55,Henrique & Juliano
69,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,4,67,39,Luan Santana
70,spotify:track:3pgKhQdt8MNXUhh9698qmi,Tá na Hora do Jair Já Ir Embora,70,—,1,Tiago Doidão
71,spotify:track:7LRjGCQdXzkBJj03e1kHkq,Fala Alguma Coisa - Ao Vivo,61,64,9,Paulo e Nathan
72,spotify:track:2VbKpQWIMRelKmEy8rSCAf,Set Tatuapé Conceito 2,50,69,17,Mc Kako
73,spotify:track:3EM71GPnUGJ75uDhkH77pq,Insônia - Ao Vivo,46,74,10,LUDMILLA
74,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,71,55,Marília Mendonça
75,spotify:track:5IcPYzR2bkS4W3MabMpi4Z,Melhor Ser uma Saudade,11,68,40,Zé Neto & Cristiano
76,spotify:track:0GsvMQftDrIOszte4jP5XK,OQIGAP?,69,70,3,Mc IG
77,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,72,72,4,MC Cabelinho
78,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,28,76,32,João Bosco e Gabriel
79,spotify:track:3euydCfGHLFjuwHA7G7AUJ,Aqui Na Parma Tu Vem Pra Fuder,79,—,1,DJ CIRILO DE CAXIAS
80,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,77,78,4,Beyoncé
81,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,29,77,16,Nivaldo Marques
82,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,73,33,Davi Kneip
83,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,47,81,10,Kweller
84,spotify:track:3o5LmE0gNsEBwz7VCmc3bV,Problemão - Ao Vivo,84,—,1,Hugo & Vitor
85,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,57,79,18,Mc Gabzin
86,spotify:track:5TGkZGCUoV1zvFxQOIQM5O,Reverse,85,85,2,HITMAKER
87,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,14,80,55,Tayrone
88,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,23,83,52,Marília Mendonça
89,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,34,84,25,Leo Santana
90,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,50,82,31,Henrique & Juliano
91,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,90,90,3,KayBlack
92,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,71,94,10,Grupo Menos É Mais
93,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,87,93,3,Chris Brown
94,spotify:track:2s8kT1fuBVjxept8bH68Sw,SET MK 2,61,87,22,MC Hariel
95,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,95,—,1,Felipe e Rodrigo
96,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,86,48,Wesley Safadão
97,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,88,16,Luísa Sonza
98,spotify:track:7qq40cRIYNKZCDt1STfBqt,"Bruna, Tu Já Parou Pra Pensar",64,92,17,Niack
99,spotify:track:14uWxelOuAUajP8fDvc0Ct,Falta Você,82,—,1,Thiaguinho
100,spotify:track:7yYrG1nIPeZdLoA9tfU8LL,Boca de Mel,91,95,4,Mc Jacaré
