rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,1,14,Mc Paiva ZS
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,5,4,Gustavo Mioto
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,2,16,Guilherme & Benuto
4,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,3,8,Guilherme & Benuto
5,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,7,6,Diego & Victor Hugo
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,4,6,11,Jorge & Mateus
7,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,10,17,L7NNON
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,11,39,Hugo & Guilherme
9,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,9,9,Luan Santana
10,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,4,19,Ana Castela
11,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,5,8,14,Gusttavo Lima
12,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,8,12,10,Hugo & Guilherme
13,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,5,13,23,Jorge & Mateus
14,spotify:track:2orGm2E68ODFYOURjaES62,Felina,14,31,3,WIU
15,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,15,15,10,Matheus & Kauan
16,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,25,28,Matheus Fernandes
17,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,7,14,11,DJ AK BR
18,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,3,18,12,Mc Jacaré
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,11,17,30,Matheus & Kauan
20,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,20,26,20,Mari Fernandez
21,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,21,28,Gusttavo Lima
22,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,20,16,MC Tairon
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,17,19,20,Israel & Rodolffo
24,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,14,16,4,Pineapple StormTv
25,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,17,48,21,Henrique & Juliano
26,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,4,22,12,Marília Mendonça
27,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),23,23,3,Sam Smith
28,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,19,24,10,Murilo Huff
29,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,12,27,26,Hugo & Guilherme
30,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,28,28,5,Mc Kitinho
31,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,17,30,13,MC Kevin o Chris
32,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,32,—,1,Gusttavo Lima
33,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,32,26,Luan Santana
34,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,17,29,24,Paulo e Nathan
35,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,27,33,20,Mc Paiva ZS
36,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,35,21,Mc Don Juan
37,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,37,28,Felipe Amorim
38,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,34,36,20,Murilo Huff
39,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,39,43,4,MC Marks
40,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,47,52,Henrique & Juliano
41,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,4,38,36,Luan Santana
42,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,26,39,28,Harry Styles
43,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,42,51,Henrique & Juliano
44,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,45,51,George Henrique & Rodrigo
45,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,41,17,Zé Felipe
46,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,53,24,MC Rogerinho
47,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,54,22,João Gomes
48,spotify:track:5fstoJBdyj9Yvhe4W5hmEP,Set Wesley Alemão,43,44,6,Dj GM
49,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,34,40,13,Clayton & Romário
50,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,49,35,Guilherme & Benuto
51,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,51,—,1,Dj LK da Escócia
52,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,34,44,Jorge & Mateus
53,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,46,30,Davi Kneip
54,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,11,50,26,MC Braz
55,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,5,51,28,Matuê
56,spotify:track:0yDMhYTryvQoR634wDgQ1j,O Fim é Triste (feat. DJ BOY),44,52,15,MC Hariel
57,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,48,55,9,Felipe Amorim
58,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,58,46,Gusttavo Lima
59,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,47,59,7,Kweller
