rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,8,MC Kevin o Chris
2,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,2,10,Ana Castela
3,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,3,21,3,Luan Pereira
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,3,27,Grupo Menos É Mais
5,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,5,31,AgroPlay
6,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,4,16,DENNIS
7,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,7,29,2,Luísa Sonza
8,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,9,12,Mc Livinho
9,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,8,8,12,Zé Neto & Cristiano
10,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,11,28,Israel & Rodolffo
11,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,6,6,9,Gusttavo Lima
12,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,6,10,6,Felipe Amorim
13,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,4,12,32,Simone Mendes
14,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,3,7,11,Luan Pereira
15,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,14,31,Guilherme & Benuto
16,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,7,13,9,Vulgo FK
17,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,16,20,18,Guilherme & Benuto
18,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,15,14,Luan Santana
19,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,18,19,6,Felipe Amorim
20,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,17,13,Mc Pedrinho
21,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,6,23,17,Veigh
22,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,22,36,2,Gusttavo Lima
23,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,24,32,Henrique & Juliano
24,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",22,22,4,Mc IG
25,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,25,43,10,Zé Neto & Cristiano
26,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,15,26,19,Zé Neto & Cristiano
27,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),27,28,3,Ana Castela
28,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,18,30,Zé Neto & Cristiano
29,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,6,30,32,Matheus & Kauan
30,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,15,25,12,Kadu Martins
31,spotify:track:2nfnhFDhwMet9yZodpGfn3,AMBIENTE ERRADO - Ao Vivo,26,27,6,Luan Santana
32,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,31,39,Marília Mendonça
33,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,14,38,34,Gustavo Mioto
34,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,33,34,9,Maiara & Maraisa
35,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,32,32,13,Diego & Victor Hugo
36,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,30,40,7,Gusttavo Lima
37,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",27,37,12,Melody
38,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,16,16,3,Luísa Sonza
39,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,28,39,14,Hugo & Guilherme
40,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,40,46,4,Henrique & Juliano
41,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",10,35,12,Dyamante DJ
42,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,41,26,Luan Pereira
43,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,38,45,15,Israel & Rodolffo
44,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,33,33,4,Luísa Sonza
45,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,12,47,27,Clayton & Romário
46,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,33,42,8,GORDÃO DO PC
47,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,35,48,13,Murilo Huff
48,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,44,44,2,Luísa Sonza
49,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,28,53,31,NATTAN
