rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,11,AgroPlay
2,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,2,9,Zé Neto & Cristiano
3,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,3,6,3,Hugo & Guilherme
4,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,3,13,Marília Mendonça
5,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,7,10,Guilherme & Benuto
6,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,4,13,Israel & Rodolffo
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,5,11,Henrique & Juliano
8,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,8,10,7,Israel & Rodolffo
9,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,8,11,Matheus & Kauan
10,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,9,9,12,Simone Mendes
11,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,10,12,6,Clayton & Romário
12,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,8,13,7,Hugo & Guilherme
13,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,13,21,5,Luan Pereira
14,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,9,18,12,Gusttavo Lima
15,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,17,13,Maiara & Maraisa
16,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,15,13,Gustavo Mioto
17,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,14,14,4,Henrique & Juliano
18,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,9,19,13,Gustavo Mioto
19,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,11,5,Zé Felipe
20,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,7,16,10,MC Xenon
21,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,7,20,13,Ana Castela
22,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,22,13,Matheus & Kauan
23,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,7,23,13,Israel & Rodolffo
24,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,10,25,13,Naiara Azevedo
25,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,16,27,13,Felipe e Rodrigo
26,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,20,24,5,MC Kevin o Chris
27,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,28,13,Guilherme & Benuto
28,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,5,29,13,Guilherme & Benuto
29,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,29,39,3,Wesley Safadão
30,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,12,31,13,Guilherme & Benuto
31,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,31,41,2,KayBlack
32,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,14,26,13,Jorge & Mateus
33,spotify:track:2slHCHYP7ogpGSsCumJT1a,Fulano - Ao Vivo,33,40,3,Murilo Huff
34,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,9,33,13,Zé Felipe
35,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,26,34,11,NATTAN
36,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,14,30,13,WIU
37,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,37,—,1,Gusttavo Lima
39,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,31,36,6,MC Rogerinho
40,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,35,11,Leo Santana
41,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,20,37,13,Luan Santana
42,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,18,38,13,Mc Tato
43,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,33,42,13,Bruno & Denner
