rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,2,8,Ana Castela
2,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,5,MC Kevin o Chris
3,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,3,3,9,Luan Pereira
4,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,4,4,5,Felipe Amorim
5,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,5,11,7,Gusttavo Lima
6,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,6,9,10,Zé Neto & Cristiano
7,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,8,26,Israel & Rodolffo
8,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,6,31,Simone Mendes
9,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,5,14,DENNIS
10,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,7,30,AgroPlay
11,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,3,10,10,Mc Livinho
12,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,12,16,4,Felipe Amorim
13,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,12,12,16,Guilherme & Benuto
14,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,14,28,Zé Neto & Cristiano
15,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,8,13,12,Luan Santana
16,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,16,17,24,Grupo Menos É Mais
17,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,18,29,Guilherme & Benuto
18,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,19,30,Henrique & Juliano
19,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",5,15,11,Mc Pedrinho
20,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,10,20,11,Kadu Martins
21,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,21,25,11,Diego & Victor Hugo
22,spotify:track:2nfnhFDhwMet9yZodpGfn3,AMBIENTE ERRADO - Ao Vivo,22,28,4,Luan Santana
23,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,10,22,23,Zé Neto & Cristiano
24,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,24,30,7,Maiara & Maraisa
25,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,15,23,12,Hugo & Guilherme
26,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,26,32,5,Gusttavo Lima
27,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,24,26,7,Vulgo FK
28,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,21,30,Matheus & Kauan
29,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",26,34,10,Melody
30,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,9,35,32,Gustavo Mioto
31,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,30,31,15,Israel & Rodolffo
32,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,24,22,Hugo & Guilherme
33,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,33,38,Marília Mendonça
34,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,36,43,Israel & Rodolffo
35,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,9,27,25,Clayton & Romário
36,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",12,29,10,Dyamante DJ
37,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,31,39,15,Murilo Huff
38,spotify:track:5qjwjBzWAxXjjqinjENzIF,Dói,38,38,4,Jorge & Mateus
39,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,12,40,24,Luan Pereira
40,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,21,37,15,Veigh
41,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,41,49,9,Zé Neto & Cristiano
42,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),42,—,1,Ana Castela
43,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,43,51,5,Henrique & Juliano
44,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,8,43,26,Hugo & Guilherme
45,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,45,—,1,Luan Pereira
46,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,47,37,Maiara & Maraisa
47,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,26,46,30,NATTAN
48,spotify:track:3uxc6B7LaEeOdLe4WWzME8,"Faz Completo, Chefe",48,98,2,Mc IG
49,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,27,45,19,Henrique & Juliano
50,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,40,41,6,GORDÃO DO PC
51,spotify:track:29Mwr4G1352Vh5xZU71DGJ,Campo De Morango,51,95,2,Luísa Sonza
52,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,44,48,12,Henrique & Juliano
53,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,7,53,36,Ana Castela
54,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,32,56,25,Belle Kaffer
55,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,55,—,1,Gusttavo Lima
56,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,54,50,Gustavo Mioto
57,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,19,50,15,MC Guh SR
58,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,37,52,10,Leo Santana
59,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,25,59,18,Lauana Prado
60,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,9,58,31,Gusttavo Lima
61,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,35,42,10,DJ Jeeh FDC
62,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,61,62,Guilherme & Benuto
63,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,25,44,18,MC Kevin o Chris
