rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,1,9,Israel & Rodolffo
2,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,16,Gustavo Mioto
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,3,28,Guilherme & Benuto
4,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,3,4,10,MC MENOR HR
5,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,8,7,Zé Felipe
6,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,5,12,Matheus & Kauan
7,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,7,20,Guilherme & Benuto
8,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,6,6,12,Felipe e Rodrigo
9,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,9,27,4,Marília Mendonça
10,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,4,9,18,Diego & Victor Hugo
11,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,10,10,9,Guilherme & Benuto
12,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,11,11,5,Israel & Rodolffo
13,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,13,19,3,MC K.K
14,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,12,23,Jorge & Mateus
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,13,51,Hugo & Guilherme
16,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,15,15,3,Maiara & Maraisa
17,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,14,13,Gusttavo Lima
18,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,12,16,22,Murilo Huff
19,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),19,20,8,Kadu Martins
20,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,10,17,22,Matheus & Kauan
21,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,16,22,7,DJ Dozabri
22,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,1,18,35,Jorge & Mateus
23,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,7,21,24,Mc Paiva ZS
24,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,15,23,13,Dj LK da Escócia
25,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,25,47,2,Ana Castela
26,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,9,25,42,Matheus & Kauan
27,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,14,24,32,Israel & Rodolffo
28,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,26,26,8,Gusttavo Lima
29,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,28,24,Marília Mendonça
30,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,30,32,Ana Castela
31,spotify:track:2orGm2E68ODFYOURjaES62,Felina,17,31,14,WIU
32,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,29,22,Hugo & Guilherme
33,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,33,55,3,Mc Jacaré
34,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,22,35,35,Mari Fernandez
