rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,9,Marília Mendonça
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,2,13,Israel & Rodolffo
3,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,3,—,1,Leo Santana
4,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,3,13,Gustavo Mioto
5,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,5,6,8,Maiara & Maraisa
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,4,13,Guilherme & Benuto
7,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,7,8,7,Ana Castela
8,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,5,13,Matheus & Kauan
9,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,5,9,13,Guilherme & Benuto
10,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,7,7,10,Israel & Rodolffo
11,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,10,10,4,Naiara Azevedo
12,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,12,21,3,Gustavo Mioto
13,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,11,12,Zé Felipe
14,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,4,12,13,Guilherme & Benuto
15,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,7,13,6,DJ Jeeh FDC
16,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,6,17,13,Felipe e Rodrigo
17,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,9,14,13,Jorge & Mateus
18,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,10,16,8,MC K.K
19,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,3,15,13,MC MENOR HR
20,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,20,34,2,Gusttavo Lima
21,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,18,19,5,Mc Tato
22,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,20,20,3,Luan Santana
23,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,23,—,1,Henrique & Juliano
24,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,6,18,13,Diego & Victor Hugo
25,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,20,22,9,WIU
26,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,26,32,8,Mc Jacaré
27,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,15,25,13,Murilo Huff
28,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,23,23,6,Anitta
29,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,24,24,13,Gusttavo Lima
30,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,30,—,1,Zé Felipe
31,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,12,27,13,Matheus & Kauan
32,spotify:track:6tW23l5oRR8XyYJsF5si9G,Eu Minto (Ao Vivo),32,52,2,US Agroboy
33,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,13,28,13,Jorge & Mateus
34,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,11,30,13,Hugo & Guilherme
35,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,23,29,9,MC Ryan SP
36,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,32,33,9,Bruno & Denner
37,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),19,31,13,Kadu Martins
38,spotify:track:1bzRhnrWU1l1u4Bby9ZbfQ,Nosso Quadro,38,—,1,AgroPlay
39,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,26,26,4,Miley Cyrus
40,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,22,36,13,Marília Mendonça
41,spotify:track:6obqb3vA4kufqEHibtF5W1,Guarda Roupa - Ao Vivo,41,49,2,Fred & Fabrício
42,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,42,77,2,Mc Paiva ZS
43,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,35,13,Israel & Rodolffo
44,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,32,43,13,Henrique & Juliano
45,spotify:track:2orGm2E68ODFYOURjaES62,Felina,17,38,13,WIU
46,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,46,—,1,Teto
47,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,10,37,13,Mc Paiva ZS
48,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,13,40,13,Hugo & Guilherme
49,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),31,39,7,Luísa Sonza
50,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,42,13,Matheus & Kauan
51,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,51,—,1,Matheus & Kauan
52,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,39,50,13,Henrique & Juliano
53,spotify:track:3wkev7dKaNZwHh6DRRCKEQ,Cabine Bruta,53,—,1,Luan Pereira
54,spotify:track:1xYEn7AJr4AlTuqXMzUUUe,Tempo Ao Tempo,54,—,1,Cristiano Araújo
55,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,55,—,1,Guilherme & Santiago
56,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,26,44,13,Orochi
57,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,21,45,13,Hugo & Guilherme
58,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,58,64,3,Sony no Beat
59,spotify:track:3o5LmE0gNsEBwz7VCmc3bV,Problemão - Ao Vivo,42,58,13,Hugo & Vitor
60,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,18,47,13,Ana Castela
61,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,61,73,2,Simone Mendes
62,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,29,46,13,Paulo e Nathan
63,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,32,54,13,Felipe Amorim
64,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,41,13,Gusttavo Lima
65,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,51,51,3,DJ Cayoo
66,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,44,56,13,Luan Santana
67,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,27,55,13,Guilherme & Benuto
68,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,43,63,13,Jorge & Mateus
69,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,42,59,13,George Henrique & Rodrigo
70,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,54,57,13,Marília Mendonça
71,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,28,53,13,Gusttavo Lima
72,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),53,86,13,Sam Smith
73,spotify:track:1cmH3nQCYgR8lmq1ZFAXcI,Alô Inveja - Ao Vivo Em Brasília,73,—,1,Henrique & Juliano
74,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,28,74,13,Mc Jacaré
75,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,48,70,13,Murilo Huff
76,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,45,68,13,Clayton & Romário
77,spotify:track:5TGkZGCUoV1zvFxQOIQM5O,Reverse,34,80,13,HITMAKER
78,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,16,61,12,DJ Dozabri
79,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,23,60,13,Mari Fernandez
80,spotify:track:11ia1KLok8cm88CHv51A7T,Meio Fio - Ao Vivo,41,66,13,Diego & Victor Hugo
81,spotify:track:5IcPYzR2bkS4W3MabMpi4Z,Melhor Ser uma Saudade,54,71,13,Zé Neto & Cristiano
82,spotify:track:6DyMzG7o8CKHPief9ayvmm,Saudade Digitando - Ao Vivo,82,—,1,Marcos & Belutti
83,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,72,78,13,Henrique & Juliano
84,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,37,82,13,Henrique & Juliano
85,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,30,72,13,Matheus Fernandes
86,spotify:track:5GiYIXJ21dQlzxdL3Qsyh6,Tanto Faz - Ao Vivo,65,76,4,Lauana Prado
87,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,59,81,13,Harry Styles
88,spotify:track:49eptxEc4U8US6I3RuoeXp,Ponto Final - Ao Vivo,88,94,2,Luiza Martins
89,spotify:track:5SNmydYI1NjmtuYLoKjls8,Pessoa Errada - Ao Vivo,59,69,4,Paulo e Nathan
90,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,38,75,13,Guilherme & Benuto
91,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,15,48,13,Dj LK da Escócia
92,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,74,83,13,Marília Mendonça
93,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,59,65,13,Luan Santana
94,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,91,91,3,Matheus Fernandes
95,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,95,—,1,NATTAN
96,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,87,—,1,Henrique & Juliano
97,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",57,67,4,Bizarrap
98,spotify:track:2XMy1sp2YymfTzDqP5txjk,Frequência de Saudade - Ao Vivo,76,79,3,Diego & Victor Hugo
99,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,29,85,13,DJ AK BR
100,spotify:track:71VNsncPcTfQiklVO9uXfB,Ô Lá na Roça - Ao Vivo,56,98,2,Felipe & Murillo
