rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,1,1,3,Hugo & Guilherme
2,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,3,15,George Henrique & Rodrigo
3,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,2,10,Gusttavo Lima
4,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,4,4,6,Xamã
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,5,8,Jorge & Mateus
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,6,16,Marília Mendonça
7,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,7,16,Henrique & Juliano
8,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,9,12,Zé Felipe
9,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,8,13,Marília Mendonça
10,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,10,12,Mari Fernandez
11,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,11,16,3,Chefin
12,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,12,13,8,Matheus & Kauan
13,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,12,16,Henrique & Juliano
14,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,6,14,16,PEDRO SAMPAIO
15,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,11,15,Paulo Pires
16,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,15,15,8,DJ Matt D
17,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,13,17,16,Tayrone
18,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,30,9,Wesley Safadão
19,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,18,18,11,Israel & Rodolffo
20,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,4,20,16,Marília Mendonça
21,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,21,21,15,Henrique & Juliano
22,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,19,16,Zé Neto & Cristiano
23,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,23,—,1,Zé Felipe
24,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,7,25,14,MC Levin
25,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,27,16,Zé Felipe
26,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,22,26,16,Max e Luan
27,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,23,16,Gusttavo Lima
28,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,21,22,16,Clayton & Romário
29,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,28,31,8,Anitta
30,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,24,16,Avine Vinny
31,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,31,49,3,Mc Don Juan
32,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,21,35,16,Marília Mendonça
33,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,11,29,16,Felipe Amorim
34,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,34,61,2,Dj Guuga
35,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,28,16,Matheus & Kauan
36,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,25,34,16,Zé Neto & Cristiano
37,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,7,32,16,Zé Neto & Cristiano
38,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,33,33,11,Mc Davi
39,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,39,58,3,Simone & Simaria
40,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,40,—,1,Zé Neto & Cristiano
41,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,36,16,Gusttavo Lima
42,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,19,37,16,Matheus Fernandes
43,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,14,40,16,Diego & Victor Hugo
44,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,44,48,4,Luísa Sonza
45,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,45,46,4,Melody
46,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,38,16,João Gomes
47,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,19,41,16,Vitor e Luan
48,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,18,42,16,Tarcísio do Acordeon
49,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,9,39,16,Mc Anjim
50,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,20,44,14,Hugo & Guilherme
51,spotify:track:0j8nXyOr5UXWHqy0BBnZ6L,Dá Intimidade Pra Ver - Ao Vivo,47,47,2,Israel & Rodolffo
52,spotify:track:67fTDdGkHk1G5IZokS4uML,Esse Barulho,52,66,2,Murilo Huff
53,spotify:track:7kcrUZ5B8VIVtzmUlkjlhj,Seu Perfil - Ao Vivo,53,—,1,Henrique & Juliano
54,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,54,—,1,Anitta
55,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,21,43,16,Luan Santana
56,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,9,45,16,Gusttavo Lima
57,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,27,55,16,Henrique & Juliano
58,spotify:track:6wrkP23fHC8KDHCfs8MpJ9,Chá De Casa Nova - Ao Vivo,44,53,8,Henrique & Juliano
59,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,32,51,14,Gusttavo Lima
60,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,27,56,15,Marina Sena
61,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,26,52,16,Zé Felipe
62,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,62,96,2,Jão
63,spotify:track:4nDOZT5fC3sUxP7UgjEd57,Erro do Ficante - Ao Vivo No Casa Filtr,54,54,3,Marcos & Belutti
64,spotify:track:6PphjPCInSH37orHuV7ymU,Modo Avião - Ao Vivo,52,57,11,DENNIS
65,spotify:track:62d4BfCTUHdOsARRETHLDz,Mete a Louca,33,50,16,MC Rogerinho
66,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,15,60,13,Marília Mendonça
67,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),67,—,1,MC Teteu
68,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,23,59,16,Japãozin
69,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,27,62,16,Matheus & Kauan
70,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,63,63,4,Matuê
71,spotify:track:0m6XpDgZSyqyCg0HKOCaO8,Estelionato Afetivo - Ao Vivo,58,78,11,Douglas & Vinicius
72,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,43,64,16,Israel & Rodolffo
73,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,28,69,16,Jorge & Mateus
74,spotify:track:7vCvUJyjMxRkPeo19nxmuk,Coração Na Cama - Ao Vivo,50,68,16,Hugo & Guilherme
75,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,13,65,16,DG e Batidão Stronda
76,spotify:track:45hiPdzMRRa72PR3vFRbhu,Tentação - Ao Vivo,71,77,10,Mayke & Rodrigo
77,spotify:track:5CbDKqtF6F6m1KUvsAf2Kf,Sorte - Ao Vivo,55,76,14,Diego & Victor Hugo
