rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,1,1,6,Lauana Prado
2,spotify:track:00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,2,5,3,JC NO BEAT
3,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,2,2,5,Luan Santana
4,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,1,3,28,Zé Neto & Cristiano
5,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,5,6,8,Ana Castela
6,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,3,9,17,Dj GBR
7,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,1,4,19,Gusttavo Lima
8,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,8,17,Simone Mendes
9,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,2,7,35,Guilherme & Benuto
10,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,4,10,14,Manu
11,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),11,14,20,Ana Castela
12,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,3,15,13,Tropa do Bruxo
13,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,3,12,50,Simone Mendes
14,spotify:track:3jTyFoGeD3DTu9cnnctMWN,DENTRO DA HILUX,1,13,20,Luan Pereira
15,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,15,31,4,PEDRO SAMPAIO
16,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,16,20,8,Murilo Huff
17,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,4,19,29,Zé Neto & Cristiano
18,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,7,16,43,Grupo Menos É Mais
19,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,15,22,24,Henrique & Juliano
20,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,10,11,21,Traia Véia
21,spotify:track:6qYTjIEgne0leltNnvpSIM,CHEIRO NA CAMISETA,11,18,9,Luan Pereira
22,spotify:track:6zFpImDYig0CQhLL2NIfyN,Nosso Quadro,1,17,49,AgroPlay
23,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,23,47,5,MC PH
24,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,24,27,6,Matheus & Kauan
25,spotify:track:3dA58LbGkY9CIEPyT7yAEZ,Torce o Olho - Ao Vivo,24,42,8,Gusttavo Lima
26,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,23,27,Ana Castela
27,spotify:track:6C4nUySvjSQWoZamSKJBqH,Mala dos Porta-Mala - Ao Vivo,3,24,26,Gusttavo Lima
28,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,11,29,17,Henrique & Juliano
29,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,15,25,16,Israel & Rodolffo
30,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,8,28,31,Luan Santana
31,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,26,24,MC Kevin o Chris
32,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,10,30,12,GREGO
33,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,33,57,Marília Mendonça
34,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,32,48,Guilherme & Benuto
35,spotify:track:2QxL3wAJnwOOmygY4VX0My,Vestido Curto - Ao Vivo,34,34,3,Diego & Victor Hugo
36,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,35,35,7,Leo Santana
37,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),21,40,8,Isadora Pompeo
38,spotify:track:6GmyQws2xpUFIN5dXBNTrl,Dia de Fluxo,38,54,3,AgroPlay
39,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,15,41,31,Hugo & Guilherme
40,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,37,49,Matheus & Kauan
41,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,36,47,Zé Neto & Cristiano
42,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,11,43,17,MC Maneirinho
43,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,38,45,Israel & Rodolffo
44,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,39,33,DENNIS
45,spotify:track:5v1Fjk1RDKGqxwNOzGDewL,Então Vai,21,21,6,Zé Felipe
46,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,46,55,6,Chefin
47,spotify:track:0GTUqRzwAacEI5Pll8YlBA,Amor Não Dá Em Copo - Ao Vivo,36,46,11,Israel & Rodolffo
48,spotify:track:5XHlXhyvkzl9rEJxKZKQlH,MOLETOM,3,48,28,Luan Pereira
49,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,10,45,42,Zé Neto & Cristiano
50,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,4,44,24,Felipe Amorim
51,spotify:track:4v7UrPWZL4FJWeL5ZWQ62E,Seu Erro - Ao Vivo Em Nova Iorque / 2022,30,51,12,Henrique & Juliano
52,spotify:track:4D25RP3yiJWfW9utK9dMyv,Ali Te Ama - Ao Vivo,45,49,10,Rayane & Rafaela
53,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,26,52,19,MC Rogerinho
54,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,25,53,37,Lauana Prado
55,spotify:track:735MbOmMNSTMmPVrY51LBh,Aqui Tem Alguém - Ao Vivo,39,56,11,Ana Castela
56,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,21,50,30,Diego & Victor Hugo
57,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,57,41,Hugo & Guilherme
58,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,12,61,23,Felipe Amorim
59,spotify:track:7EHlDvAa7gncwcAlfclZiX,Última Noite - Ao Vivo,57,63,11,Felipe Araújo
60,spotify:track:1dNaW9Zy3lSgwylHwR75Ro,Mega Funk Lost,60,75,9,DJ Maninho
61,spotify:track:2yIJ2CVZkTDftAsL9NPTw2,Milionário - Ao Vivo,59,79,18,Guilherme & Benuto
62,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,44,71,10,Marshmello
63,spotify:track:1kWcd9h9HoeXsKaDVhSOtj,Ela - Ao Vivo,59,59,8,Sorriso Maroto
64,spotify:track:1lCwNTcAWUyeA210RpLCzd,Coração Sertanejo / Onde Haja Sol - Ao Vivo,64,67,5,Lauana Prado
65,spotify:track:5ZkwwBa9DlwuUFbXwrLeXF,Poeirão - Ao Vivo,53,64,11,Guilherme & Benuto
66,spotify:track:5DcysyjaPrLzXgDauvzvn6,Beijo Equivocado,58,58,5,George Henrique & Rodrigo
67,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,24,62,26,Maiara & Maraisa
68,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,Agudo Mágico 4,30,66,14,MC K.K
69,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,68,49,Henrique & Juliano
70,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,9,69,51,Gustavo Mioto
71,spotify:track:4F3XVx6fmZvWLBqmBG1gxg,Subindo e Descendo,71,78,3,DJ Jeeh FDC
72,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,21,82,34,Veigh
73,spotify:track:6nvbXA95vgyThzj2Tbhank,Tipo Hollywood,2,76,2,Mc Ws da leste
74,spotify:track:7blC5LzebSn2A64Kn4XXMP,AMBIENTE ERRADO - Ao Vivo,22,73,23,Luan Santana
75,spotify:track:4Lqjw0EejvxhI3hKROpTC9,Me Esqueça / Volta Pra Mim - Ao Vivo,70,70,3,Clayton & Romário
76,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,7,90,2,Ana Castela
77,spotify:track:1CtcgU1q0BgJN4Aottdscu,Joga Pra Lua,77,94,3,Anitta
78,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,30,74,34,Israel & Rodolffo
79,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,72,8,Israel & Rodolffo
80,spotify:track:1Or0joPrPSsuXdTzGFLAws,Sozinha - Ao Vivo,55,60,4,Gusttavo Lima
81,spotify:track:2pRjaIcGc9LOmu7x9XMswA,Calafrio (feat. Henrique & Juliano) - Ao Vivo | Bônus Track,50,80,12,Diego & Victor Hugo
82,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Vem Quebrando,43,81,17,Mc Danone
