rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,2,12,Luan Santana
2,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,1,3,Zé Felipe
3,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,3,14,Gusttavo Lima
4,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,4,4,9,Jorge & Mateus
5,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,5,25,Hugo & Guilherme
6,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,6,7,12,Hugo & Guilherme
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,6,15,Matheus Fernandes
8,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,8,14,Felipe Amorim
9,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,9,32,6,Ana Castela
10,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,10,42,2,MC Tairon
11,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),9,10,5,Gusttavo Lima
12,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,2,12,22,Luan Santana
13,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,9,30,Jorge & Mateus
14,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,10,16,7,Henrique & Juliano
15,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,11,11,MC Rogerinho
16,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,11,13,21,Guilherme & Benuto
17,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,17,35,3,L7NNON
18,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,13,14,7,Mc Don Juan
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,15,18,16,Matheus & Kauan
20,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,20,43,2,Guilherme & Benuto
21,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,20,20,6,Israel & Rodolffo
22,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,14,15,8,João Gomes
23,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,19,19,15,João Bosco e Gabriel
24,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,23,26,14,Paulo e Nathan
25,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,5,23,23,Zé Neto & Cristiano
26,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,22,37,George Henrique & Rodrigo
27,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,5,17,16,Davi Kneip
28,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,23,25,11,MC Braz
29,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,28,28,9,Mari Fernandez
30,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,21,8,Jovem Dionisio
31,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,24,38,Henrique & Juliano
32,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,27,21,PEDRO SAMPAIO
33,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,16,30,31,Wesley Safadão
34,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,34,40,9,Leo Santana
35,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,29,33,6,Murilo Huff
36,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,36,—,1,Luan Santana
37,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,29,37,Henrique & Juliano
38,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,36,38,Marília Mendonça
39,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,34,32,Gusttavo Lima
40,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,31,31,4,Baco Exu do Blues
41,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,37,23,Zé Felipe
42,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,37,49,13,Léo & Raphael
43,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,31,41,10,Mc Pepeu
44,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,45,38,Henrique & Juliano
45,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,21,38,14,Matuê
46,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,4,39,28,Xamã
47,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,24,44,11,Mc Delux
48,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,36,47,8,O Tubarão
49,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,19,50,15,Hugo & Guilherme
50,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),50,62,5,Kate Bush
51,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,13,54,38,Tayrone
52,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,36,48,14,Mc Gabzin
53,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),14,46,13,L7NNON
54,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,38,51,14,Harry Styles
55,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,11,55,30,Matheus & Kauan
56,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,22,57,21,George Henrique & Rodrigo
57,spotify:track:0HIhSuAe5lq7ywxqlAt5Nl,Deixa Ela Em Paz,53,53,2,Bruno & Marrone
58,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,58,67,6,Wesley Safadão
59,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,8,52,21,MC Rogerinho
60,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,38,58,14,Henrique & Juliano
61,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,21,61,38,Marília Mendonça
62,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,56,34,Mari Fernandez
63,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,59,35,Marília Mendonça
64,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,21,65,38,Clayton & Romário
65,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,38,70,14,Israel & Rodolffo
66,spotify:track:28k6fDcRo7iONQhMxt2OFA,Clone,58,63,8,Júnior e Cézar
